,sample,flow
0,92,183226223.62025204
1,33,191594621.27716064
2,53,192541498.71105713
3,3,193247664.4198491
4,49,194884801.9120825
5,68,195439229.361112
6,85,198173025.3010752
7,30,203327854.55263555
8,20,204594750.11241934
9,83,209176350.69345796
10,23,209641480.52920008
11,67,211476692.4670935
12,10,214842917.9205148
13,89,215878494.97948658
14,22,216509505.58702323
15,17,217688005.72150728
16,95,220035767.29523396
17,87,221859084.81968075
18,82,222262121.4054999
19,36,222605737.14901108
20,59,222902344.37400797
21,27,222985551.13501313
22,79,224672740.17916253
23,15,225472990.11142665
24,6,225578141.3563772
25,76,226026474.2650868
26,70,226329389.80144113
27,65,226610083.62159258
28,50,227693462.530696
29,42,227719599.82117903
30,63,228345299.45022032
31,48,228832187.24605465
32,91,230200724.1513727
33,4,230461978.73512805
34,57,230666008.11266547
35,34,230698713.33900318
36,14,232007355.50284526
37,16,233919752.6995968
38,72,234499625.08107772
39,74,234512476.70660594
40,19,236960395.95194465
41,58,237546157.23588505
42,29,237703937.4153251
43,44,238973584.3883769
44,97,239851410.93402243
45,2,240783706.6045885
46,7,241536693.4739852
47,56,241571419.7883323
48,18,241745203.63723195
49,71,242073248.98178023
50,96,242340734.3703341
51,26,243140893.96531183
52,77,244848137.99584448
53,25,245444556.17867744
54,39,245469365.14648548
55,12,245560132.1572562
56,46,246218876.9106873
57,24,248869524.96192545
58,0,249120357.43919396
59,78,249492151.8175649
60,55,249756018.40379977
61,81,250694257.76678866
62,64,251145013.85389438
63,69,252534041.3634196
64,84,253120501.3172683
65,75,253596413.1728995
66,1,254130953.21884936
67,86,254676183.8742567
68,80,255170258.18637055
69,61,255233535.2336647
70,38,255606679.1945638
71,11,256715823.3831516
72,52,259113315.8811284
73,54,259577585.31901413
74,37,259746290.59435263
75,73,260108453.2370594
76,98,261240543.2706498
77,99,263676037.86730233
78,5,264809628.4040798
79,41,267653639.67552093
80,93,267966910.47439995
81,45,268547538.1181796
82,94,271748704.2778025
83,28,271806034.26772183
84,100,271809084.68623793
85,62,276106386.0161562
86,66,277323083.6367271
87,31,278408416.5466875
88,47,279061922.06166875
89,40,279395331.7766571
90,35,279752341.4600717
91,51,282009168.4362757
92,90,283734580.37964976
93,60,284262892.5448467
94,88,286676824.37753147
95,13,293045974.69050395
96,9,295337654.1502828
97,32,305802718.62333894
98,43,306838267.5617774
99,8,326773649.6299817
100,21,327761116.6664396
