														Table 26
					U. S. D	epartme	nt of I	nterior	#NAME?	au of R	eclamat	ion		
						Central	Valley	Operat	ions Of	fice				
					Sa	n Luis	and Cro	ss Vall	ey Cana	ls				
							2005							
Monthly Deliveries in AF														
Water User		Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Total
City of Avenal	SAN LUIS CANAL	181	167	187	218	247	264	241	340	274	108	342	202	2771
Broadview WD		1	1	1	1	2	2	2	3	3	2	1	1	20
City of Coalinga		352	284	361	438	478	731	956	1008	868	597	465	361	6899
City of Dos Palos		66	62	74	96	144	172	205	193	152	138	95	73	1470
City of Huron		49	44	65	98	86	113	139	132	115	87	89	64	1081
Pacheco WD		1	1	1	1	1	818	2327	1654	255	157	8	444	5668
Pacheco CCID Non-project (Hamburg)		188	489	137	674	1242	1282	0	0	0	0	0	0	4012
Panoche WD		1859	2546	2071	3029	4239	10753	14537	10168	1147	673	595	1328	52945
San Luis WD		632	2388	4813	5889	7015	12413	13579	9881	3610	3757	2406	593	66976
Westlands WD (Federal)		23005	42250	58254	77959	91619	181667	212408	172050	56187	46208	39326	50878	1051811
Fish & Game (Lateral 4 - Federal )		73	63	10	22	0	0	1	0	39	0	0	0	208
Fish & Game (Lateral 6 - Federal)		6	0	0	0	0	0	0	0	0	0	0	118	124
Oneill Forebay Wildlife (Federal)	O'NEILL FOREBAY DELIVERIES	56	6	0	58	172	49	72	94	43	80	86	94	810
San Luis WD Ag		5	124	559	743	1045	1759	2044	1300	640	242	257	123	8841
San Luis M&I		48	41	45	59	67	81	99	101	83	99	62	32	817
VA Cemetary		1	1	1	1	5	10	12	9	6	3	2	1	52
County of Fresno	CROSS VALLEY CANAL	0	0	0	0	0	0	0	0	0	0	0	0	0
County of Tulare		0	0	0	0	0	0	0	0	0	0	0	0	0
Lower Tule River ID		0	0	0	0	0	0	0	0	0	2469	0	0	2469
Pixley ID		0	0	0	0	0	0	0	0	0	2469	0	0	2469
Kern-Tulare WD		0	0	0	0	0	0	0	0	0	0	0	0	0
Rag Gulch WD		0	0	0	0	0	0	0	0	0	0	0	0	0
Hills-Valey ID		0	0	0	0	0	0	0	0	0	0	0	0	0
Tri-Valley ID		0	0	0	0	0	0	0	0	0	0	0	0	0
Santa Clara	SAN FELIPE DIVISION	9599	2743	2179	1313	4162	6462	10218	14067	12430	14289	5248	6439	89149
215 water	SAN FELIPE DIVISION	0	0	1379	1313	0	0	0	0	0	0	0	0	0
San Benito	SAN FELIPE DIVISION	994	930	318	905	1704	2751	4309	4475	3009	2211	597	257	22460
