,,,,,,,,,,,,,Table,26
,,,,U. S. D,epartme,nt of I,nterior,#NAME?,au of R,eclama,tion,,,
,,,,,Central,Valley,Operat,ions Of,fice,,,,,
,,,,San,Luis an,d Cross,Valley,Canals,,,,,,
,,,,,,2008,,,,,,,,
Monthly Deliveries in AF,,,,,,,,,,,,,,
Water User,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
City of Avenal,SAN LUIS CANAL,194,191,213,202,193,169,169,171,133,252,202,173,2262
City of Coalinga,SAN LUIS CANAL,324,310,369,537,626,671,796,715,672,648,381,432,6481
City of Dos Palos,SAN LUIS CANAL,130,107,109,123,149,172,182,174,143,115,75,36,1515
City of Huron,SAN LUIS CANAL,66,61,90,125,114,116,127,127,110,106,88,56,1186
Pacheco WD,SAN LUIS CANAL,1,1,237,1,1,765,1003,652,318,1,22,53,3055
Pacheco CCID Non-project (Hamburg),SAN LUIS CANAL,96,772,1109,1494,1346,806,0,0,0,142,116,0,5881
Panoche WD,SAN LUIS CANAL,106,1224,3318,4872,5054,4883,4887,2106,1175,874,343,327,29169
San Luis WD,SAN LUIS CANAL,586,3467,5472,7150,9017,8930,10490,6827,3812,4712,2703,28,63194
Westlands WD,SAN LUIS CANAL,5588,23834,60024,76747,97166,81129,83558,61458,35231,25309,10161,5754,565959
Mendota WMA (CDFG) (via WWD Lateral,SAN LUIS CANAL,0,0,0,28,0,1,31,1,1,0,0,0,62
Mendota WMA (CDFG) (via WWD Lateral,SAN LUIS CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern National Wildlife Refuge (USFW,SAN LUIS CANAL,489,2266,0,0,276,0,0,1562,3949,3640,4857,4154,21193
Oneill Forebay Wildlife,O'NEILL FOREBAY DELIVERIES,138,31,0,0,14,147,79,108,140,148,84,100,989
San Luis WD Ag,O'NEILL FOREBAY DELIVERIES,38,274,675,666,834,759,1225,734,404,346,151,100,6206
San Luis M&I,O'NEILL FOREBAY DELIVERIES,41,42,92,93,153,168,81,113,107,81,53,33,1057
VA Cemetary,O'NEILL FOREBAY DELIVERIES,1,1,14,20,37,30,30,25,24,13,5,5,205
County of Fresno,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,152,272,776,0,0,0,1200
County of Tulare,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,123,0,1072,928,0,0,2123
Lower Tule River ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,2026,3212,1998,1083,307,96,8722
Pixley ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,2027,3212,1997,1083,307,96,8722
Kern-Tulare WD,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,0,3541,12459,0,0,0,16000
Rag Gulch WD,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,0,249,5071,0,0,0,5320
Hills-Valey ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,169,309,860,0,0,0,1338
Tri-Valley ID,CROSS VALLEY CANAL (See Note 1 below,0,0,0,0,0,0,58,107,292,0,0,0,457
Santa Clara,SAN FELIPE DIVISION,5409,2898,6710,12968,15880,16182,13880,3111,8157,8380,9737,10207,113519
San Benito,SAN FELIPE DIVISION,452,298,673,1318,2100,3638,2185,9142,1661,1058,343,224,23092
