,alfalfa,almond,apple,citrus,corn,cucumber,deciduous_misc,field_misc,grain,grape,melon,onion,pasture,peach,pepper,pistachio,strawberry,subtropical_misc,tomato,vegetable_small,walnut
0,0.14285714285714285,0.104,0.020261904761904766,0.468,0.14380952380952383,0.0,0.8283428571428572,0.075,0.08,0.7661428571428572,0.0,0.0,0.183,0.2767857142857143,0.0,0.0,0.0,0.031,0.0,0.0,0.563
1,0.13,0.152,0.0045,0.531,0.14,0.0,0.8787999999999998,0.075,0.0,0.7749999999999999,0.0,0.0,0.002,0.3137,0.0,0.0,0.0,0.014,0.0,0.0,0.604
2,0.0,0.152,0.0045,0.528,0.0,0.0,0.8438100000000001,0.075,0.08,0.8220000000000001,0.0,0.0,0.002,0.3472,0.0,0.0,0.0,0.031,0.0,0.0,0.618
3,0.0,0.104,0.0045,0.529,0.0,0.0,0.7812799999999999,0.0,0.0,0.845,0.0,0.0,0.0,0.2777,0.0,0.0,0.0,0.031,0.0,0.0,0.604
4,0.105,0.102,0.0046,0.518,0.0,0.0,0.6664500000000001,0.0,0.0,0.6459999999999999,0.0,0.0,0.0,0.31660000000000005,0.0,0.004,0.0,0.031,0.0,0.0,0.576
5,0.0,0.124,0.0046,0.528,0.0,0.0,0.7679000000000002,0.0,0.0,0.568,0.01,0.0,0.0,0.1918,0.0,0.0,0.0,0.014,0.0,0.0,0.575
6,0.0,0.044,0.0023,0.629,0.12,0.0,0.6407,0.0,0.0,0.494,0.0,0.0,0.0,0.2386,0.0,0.0,0.0,0.031,0.0,0.0,0.508
7,0.0,0.044,0.0,0.8180000000000001,0.35243273386309765,0.0,0.5181895580649658,0.0,0.0,0.735,0.0,0.0,0.03,0.19952014498815,0.0,0.0,0.0,0.056,0.0,0.0,0.49175756308378643
8,0.0,0.035,0.0,0.667,0.0,0.0,0.5205,0.0,0.115,0.637,0.0,0.0,0.02,0.37006,0.0,0.0,0.0,0.18600000000000003,0.0,0.0,0.482
9,0.0,0.188,0.0023,0.675,0.0,0.0,0.488,0.0,0.04,0.5917,0.0,0.0,0.0,0.2817999999999999,0.0,0.0,0.0,0.19115000000000001,0.0,0.0,0.53
10,0.0,0.153,0.00025,0.635,0.15,0.0,0.4646500000000001,0.0,0.0,0.5054500000000001,0.003,0.0,0.03,0.3032999999999999,0.00030000000000000003,0.019,0.0,0.22669999999999998,0.0002,0.00015,0.53
11,0.0,0.153,0.00025,0.666,0.0,0.0,0.48545,0.0,0.0,0.44186000000000003,0.008,0.00025,0.018,0.2857999999999999,0.0,0.004,0.0,0.22619999999999998,0.001,0.0,0.544
12,0.0,0.16804347826086957,0.0,0.7050000000000001,0.0,0.0,0.45313478260869566,0.07490000000000001,0.10434782608695652,0.7097295652173914,0.004,0.0,0.0,0.34088695652173917,0.00030000000000000003,0.015,0.0,0.0764,0.001,0.0,0.5292173913043479
13,0.0,0.188,0.004,1.082,0.007,0.0,0.4439,0.07490000000000001,0.0,0.63586,0.005,0.0,0.0,0.2877000000000001,0.0002,0.064,0.0,0.18869999999999998,0.0005,0.0,0.556
14,0.0,0.23791563062676846,0.0022949755637486076,0.9078099116865301,0.0,0.0001,0.5608464931835719,0.14074926691245818,0.0,0.6957846334562291,0.0051,0.00025,0.0,0.2869778959101432,0.0002,0.1291196090199777,0.0,0.15769999999999998,0.0005,0.0,0.5983115836405727
15,0.106,0.15599345113060673,0.00035,1.0165093290497962,0.0,0.0,0.32969606450018535,0.0,0.0,0.5243084122080811,0.005,0.0,0.0,0.3609402446558755,0.0,0.28715198319535407,0.092,0.16049999999999998,0.0,0.0,0.5563105152601013
16,0.106,0.1675392528424472,0.0002,1.0783494856524092,0.0,0.0,0.2258580887926367,0.0,0.0,0.5288361775852735,0.0,0.0,0.0,0.32704075257173787,0.0,0.2440460205739036,0.092,0.1248,0.0,0.0,0.5619702219815917
17,0.141,0.188,0.0,0.95039,0.0,0.0,0.28297,0.0,0.0,0.63711,0.0,0.0,0.0,0.3182100000000001,0.0,0.245,0.092,0.0028,0.0,0.0,0.59
18,0.141,0.188,0.0002,0.95039,0.0,0.0,0.24597,0.0,0.0,0.49211,0.0,0.0,0.0,0.30381,0.0,0.295,0.092,0.0028,0.0,0.0,0.663
19,0.071,0.2605715809488476,0.0002,0.9720373092797848,0.0,0.0,0.21485047117747996,0.022,0.0,0.5221100000000001,0.0,0.0,0.0,0.29334023558874,0.0,0.24394615004096523,0.092,0.0528,0.0,0.0,0.6769242529641823
