Parameter,Region,Crop,Input,Level
BETA_DEC,D02,ALFAL,LAND,0.001137147
BETA_DEC,D02,ALFAL,WATER,0.998862853
BETA_DEC,D02,ALFAL,LABOR,0
BETA_DEC,D02,ALFAL,SUPPL,0
BETA_DEC,D02,ALPIS,LAND,0.005852559
BETA_DEC,D02,ALPIS,WATER,0.994147441
BETA_DEC,D02,ALPIS,LABOR,0
BETA_DEC,D02,ALPIS,SUPPL,0
BETA_DEC,D02,CORN,LAND,0.067640349
BETA_DEC,D02,CORN,WATER,0.932359651
BETA_DEC,D02,CORN,LABOR,0
BETA_DEC,D02,CORN,SUPPL,0
BETA_DEC,D02,COTTN,LAND,0.00686515
BETA_DEC,D02,COTTN,WATER,0.99313485
BETA_DEC,D02,COTTN,LABOR,0
BETA_DEC,D02,COTTN,SUPPL,0
BETA_DEC,D02,CUCUR,LAND,5.43994E-05
BETA_DEC,D02,CUCUR,WATER,0.000220562
BETA_DEC,D02,CUCUR,LABOR,0.986770797
BETA_DEC,D02,CUCUR,SUPPL,0.012954242
BETA_DEC,D02,DRYBN,LAND,0.123741926
BETA_DEC,D02,DRYBN,WATER,0.876171747
BETA_DEC,D02,DRYBN,LABOR,2.441E-07
BETA_DEC,D02,DRYBN,SUPPL,8.60827E-05
BETA_DEC,D02,FRTOM,LAND,0.121556559
BETA_DEC,D02,FRTOM,WATER,0.205945954
BETA_DEC,D02,FRTOM,LABOR,1.08997E-05
BETA_DEC,D02,FRTOM,SUPPL,0.672486587
BETA_DEC,D02,GRAIN,LAND,0.422603326
BETA_DEC,D02,GRAIN,WATER,0.577396675
BETA_DEC,D02,GRAIN,LABOR,0
BETA_DEC,D02,GRAIN,SUPPL,0
BETA_DEC,D02,ONGAR,LAND,0.055999821
BETA_DEC,D02,ONGAR,WATER,0.943963472
BETA_DEC,D02,ONGAR,LABOR,4.45E-08
BETA_DEC,D02,ONGAR,SUPPL,3.66631E-05
BETA_DEC,D02,OTHDEC,LAND,0.018449818
BETA_DEC,D02,OTHDEC,WATER,0.977263204
BETA_DEC,D02,OTHDEC,LABOR,5.47E-08
BETA_DEC,D02,OTHDEC,SUPPL,0.004286924
BETA_DEC,D02,OTHFLD,LAND,0.01294269
BETA_DEC,D02,OTHFLD,WATER,0.98705731
BETA_DEC,D02,OTHFLD,LABOR,0
BETA_DEC,D02,OTHFLD,SUPPL,0
BETA_DEC,D02,OTHTRK,LAND,0.43208686
BETA_DEC,D02,OTHTRK,WATER,0.567913111
BETA_DEC,D02,OTHTRK,LABOR,0
BETA_DEC,D02,OTHTRK,SUPPL,2.86E-08
BETA_DEC,D02,PASTR,LAND,0.000267784
BETA_DEC,D02,PASTR,WATER,0.999732216
BETA_DEC,D02,PASTR,LABOR,0
BETA_DEC,D02,PASTR,SUPPL,0
BETA_DEC,D02,POTATO,LAND,0.593908263
BETA_DEC,D02,POTATO,WATER,0.405891302
BETA_DEC,D02,POTATO,LABOR,5.49E-08
BETA_DEC,D02,POTATO,SUPPL,0.00020038
BETA_DEC,D02,PRTOM,LAND,0.212877757
BETA_DEC,D02,PRTOM,WATER,0.787121256
BETA_DEC,D02,PRTOM,LABOR,3.6E-09
BETA_DEC,D02,PRTOM,SUPPL,9.833E-07
BETA_DEC,D02,RICE,LAND,0
BETA_DEC,D02,RICE,WATER,0
BETA_DEC,D02,RICE,LABOR,0
BETA_DEC,D02,RICE,SUPPL,0
BETA_DEC,D02,SAFLR,LAND,0.027704562
BETA_DEC,D02,SAFLR,WATER,0.972295438
BETA_DEC,D02,SAFLR,LABOR,0
BETA_DEC,D02,SAFLR,SUPPL,4E-10
BETA_DEC,D02,SBEET,LAND,0
BETA_DEC,D02,SBEET,WATER,0
BETA_DEC,D02,SBEET,LABOR,0
BETA_DEC,D02,SBEET,SUPPL,0
BETA_DEC,D02,SUBTRP,LAND,0
BETA_DEC,D02,SUBTRP,WATER,0
BETA_DEC,D02,SUBTRP,LABOR,0
BETA_DEC,D02,SUBTRP,SUPPL,0
BETA_DEC,D02,VINE,LAND,0.022275963
BETA_DEC,D02,VINE,WATER,0.977724037
BETA_DEC,D02,VINE,LABOR,1E-10
BETA_DEC,D02,VINE,SUPPL,0
BETA_DEC,D03,ALFAL,LAND,0.000324136
BETA_DEC,D03,ALFAL,WATER,0.999675864
BETA_DEC,D03,ALFAL,LABOR,0
BETA_DEC,D03,ALFAL,SUPPL,0
BETA_DEC,D03,ALPIS,LAND,0.00999463
BETA_DEC,D03,ALPIS,WATER,0.99000537
BETA_DEC,D03,ALPIS,LABOR,0
BETA_DEC,D03,ALPIS,SUPPL,0
BETA_DEC,D03,CORN,LAND,0.039723666
BETA_DEC,D03,CORN,WATER,0.960047742
BETA_DEC,D03,CORN,LABOR,1.022E-07
BETA_DEC,D03,CORN,SUPPL,0.00022849
BETA_DEC,D03,COTTN,LAND,0.005748685
BETA_DEC,D03,COTTN,WATER,0.994251315
BETA_DEC,D03,COTTN,LABOR,0
BETA_DEC,D03,COTTN,SUPPL,1E-10
BETA_DEC,D03,CUCUR,LAND,0.111368354
BETA_DEC,D03,CUCUR,WATER,0.780485272
BETA_DEC,D03,CUCUR,LABOR,0.106745034
BETA_DEC,D03,CUCUR,SUPPL,0.00140134
BETA_DEC,D03,DRYBN,LAND,0.106737594
BETA_DEC,D03,DRYBN,WATER,0.892210178
BETA_DEC,D03,DRYBN,LABOR,2.9751E-06
BETA_DEC,D03,DRYBN,SUPPL,0.001049253
BETA_DEC,D03,FRTOM,LAND,0.330544876
BETA_DEC,D03,FRTOM,WATER,0.668464521
BETA_DEC,D03,FRTOM,LABOR,1.61E-08
BETA_DEC,D03,FRTOM,SUPPL,0.000990587
BETA_DEC,D03,GRAIN,LAND,0.335764071
BETA_DEC,D03,GRAIN,WATER,0.664235929
BETA_DEC,D03,GRAIN,LABOR,0
BETA_DEC,D03,GRAIN,SUPPL,0
BETA_DEC,D03,ONGAR,LAND,0.102997368
BETA_DEC,D03,ONGAR,WATER,0.896999404
BETA_DEC,D03,ONGAR,LABOR,3.9E-09
BETA_DEC,D03,ONGAR,SUPPL,3.2241E-06
BETA_DEC,D03,OTHDEC,LAND,0.032351598
BETA_DEC,D03,OTHDEC,WATER,0.967648402
BETA_DEC,D03,OTHDEC,LABOR,0
BETA_DEC,D03,OTHDEC,SUPPL,4E-10
BETA_DEC,D03,OTHFLD,LAND,0.010867231
BETA_DEC,D03,OTHFLD,WATER,0.989132765
BETA_DEC,D03,OTHFLD,LABOR,0
BETA_DEC,D03,OTHFLD,SUPPL,0.000000004
BETA_DEC,D03,OTHTRK,LAND,0.979716675
BETA_DEC,D03,OTHTRK,WATER,0.020283311
BETA_DEC,D03,OTHTRK,LABOR,0
BETA_DEC,D03,OTHTRK,SUPPL,1.42E-08
BETA_DEC,D03,PASTR,LAND,0
BETA_DEC,D03,PASTR,WATER,0
BETA_DEC,D03,PASTR,LABOR,0
BETA_DEC,D03,PASTR,SUPPL,0
BETA_DEC,D03,POTATO,LAND,0.198056592
BETA_DEC,D03,POTATO,WATER,0.801938856
BETA_DEC,D03,POTATO,LABOR,1.2E-09
BETA_DEC,D03,POTATO,SUPPL,4.5508E-06
BETA_DEC,D03,PRTOM,LAND,0.185168105
BETA_DEC,D03,PRTOM,WATER,0.814831764
BETA_DEC,D03,PRTOM,LABOR,5E-10
BETA_DEC,D03,PRTOM,SUPPL,0.000000131
BETA_DEC,D03,RICE,LAND,0
BETA_DEC,D03,RICE,WATER,0
BETA_DEC,D03,RICE,LABOR,0
BETA_DEC,D03,RICE,SUPPL,0
BETA_DEC,D03,SAFLR,LAND,0.031390494
BETA_DEC,D03,SAFLR,WATER,0.968607944
BETA_DEC,D03,SAFLR,LABOR,2.82E-08
BETA_DEC,D03,SAFLR,SUPPL,1.5347E-06
BETA_DEC,D03,SBEET,LAND,0
BETA_DEC,D03,SBEET,WATER,0
BETA_DEC,D03,SBEET,LABOR,0
BETA_DEC,D03,SBEET,SUPPL,0
BETA_DEC,D03,SUBTRP,LAND,0.018477085
BETA_DEC,D03,SUBTRP,WATER,0.981522916
BETA_DEC,D03,SUBTRP,LABOR,0
BETA_DEC,D03,SUBTRP,SUPPL,0
BETA_DEC,D03,VINE,LAND,0.036492548
BETA_DEC,D03,VINE,WATER,0.963507452
BETA_DEC,D03,VINE,LABOR,0
BETA_DEC,D03,VINE,SUPPL,0
BETA_DEC,D04,ALFAL,LAND,0.001402021
BETA_DEC,D04,ALFAL,WATER,0.997850056
BETA_DEC,D04,ALFAL,LABOR,3E-10
BETA_DEC,D04,ALFAL,SUPPL,0.000747923
BETA_DEC,D04,ALPIS,LAND,0
BETA_DEC,D04,ALPIS,WATER,0
BETA_DEC,D04,ALPIS,LABOR,0
BETA_DEC,D04,ALPIS,SUPPL,0
BETA_DEC,D04,CORN,LAND,0
