Parameter,Region,Crop,Level
Delta,D02,ALFAL,1527188.59
Delta,D02,ALPIS,422.07
Delta,D02,CORN,946910.76
Delta,D02,COTTN,1561321.34
Delta,D02,CUCUR,0
Delta,D02,DRYBN,119.66
Delta,D02,FRTOM,26344.33
Delta,D02,GRAIN,772241.11
Delta,D02,ONGAR,20642.93
Delta,D02,OTHDEC,30.03
Delta,D02,OTHFLD,7022652.65
Delta,D02,OTHTRK,123825.57
Delta,D02,PASTR,17017.02
Delta,D02,POTATO,11874.29
Delta,D02,PRTOM,46301.93
Delta,D02,RICE,0
Delta,D02,SAFLR,5125.29
Delta,D02,SBEET,0
Delta,D02,SUBTRP,0
Delta,D02,VINE,632.47
Delta,D03,ALFAL,51506.69
Delta,D03,ALPIS,1359.9
Delta,D03,CORN,15309.79
Delta,D03,COTTN,380506.19
Delta,D03,CUCUR,0
Delta,D03,DRYBN,62.07
Delta,D03,FRTOM,92838.21
Delta,D03,GRAIN,91004.08
Delta,D03,ONGAR,34012.92
Delta,D03,OTHDEC,518.05
Delta,D03,OTHFLD,693435.44
Delta,D03,OTHTRK,159129.37
Delta,D03,PASTR,0
Delta,D03,POTATO,18038.06
Delta,D03,PRTOM,59506.95
Delta,D03,RICE,0
Delta,D03,SAFLR,620.86
Delta,D03,SBEET,0
Delta,D03,SUBTRP,14205038.88
Delta,D03,VINE,2725.65
Delta,D04,ALFAL,4213.39
Delta,D04,ALPIS,0
Delta,D04,CORN,0
Delta,D04,COTTN,0
Delta,D04,CUCUR,0
Delta,D04,DRYBN,0
Delta,D04,FRTOM,0
Delta,D04,GRAIN,0
Delta,D04,ONGAR,758.29
Delta,D04,OTHDEC,0
Delta,D04,OTHFLD,0
Delta,D04,OTHTRK,915.43
Delta,D04,PASTR,0
Delta,D04,POTATO,0
Delta,D04,PRTOM,0
Delta,D04,RICE,0
Delta,D04,SAFLR,0
Delta,D04,SBEET,0
Delta,D04,SUBTRP,123140.81
Delta,D04,VINE,0
Delta,D01,ALFAL,0
Delta,D01,ALPIS,0
Delta,D01,CORN,0
Delta,D01,COTTN,0
Delta,D01,CUCUR,0
Delta,D01,DRYBN,0
Delta,D01,FRTOM,0
Delta,D01,GRAIN,0
Delta,D01,ONGAR,0
Delta,D01,OTHDEC,0
Delta,D01,OTHFLD,0
Delta,D01,OTHTRK,0
Delta,D01,PASTR,0
Delta,D01,POTATO,0
Delta,D01,PRTOM,0
Delta,D01,RICE,0
Delta,D01,SAFLR,0
Delta,D01,SBEET,0
Delta,D01,SUBTRP,0
Delta,D01,VINE,0
Delta,D05,ALFAL,0
Delta,D05,ALPIS,1636.2
Delta,D05,CORN,0
Delta,D05,COTTN,0
Delta,D05,CUCUR,0
Delta,D05,DRYBN,0
Delta,D05,FRTOM,0
Delta,D05,GRAIN,20815.73
Delta,D05,ONGAR,0
Delta,D05,OTHDEC,298.04
Delta,D05,OTHFLD,315477.2
Delta,D05,OTHTRK,30048.08
Delta,D05,PASTR,0
Delta,D05,POTATO,0
Delta,D05,PRTOM,0
Delta,D05,RICE,0
Delta,D05,SAFLR,874.86
Delta,D05,SBEET,0
Delta,D05,SUBTRP,0
Delta,D05,VINE,30.19
Delta,D06,ALFAL,1345776.25
Delta,D06,ALPIS,5706.11
Delta,D06,CORN,522876.45
Delta,D06,COTTN,923229.14
Delta,D06,CUCUR,0
Delta,D06,DRYBN,262.71
Delta,D06,FRTOM,0
Delta,D06,GRAIN,441098.03
Delta,D06,ONGAR,10603.35
Delta,D06,OTHDEC,247.01
Delta,D06,OTHFLD,2875392.77
Delta,D06,OTHTRK,36411.13
Delta,D06,PASTR,6853.28
Delta,D06,POTATO,0
Delta,D06,PRTOM,27514.21
Delta,D06,RICE,0
Delta,D06,SAFLR,1181.72
Delta,D06,SBEET,0
Delta,D06,SUBTRP,522295.4
Delta,D06,VINE,563.08
Delta,D07,ALFAL,308881.68
Delta,D07,ALPIS,1058.84
Delta,D07,CORN,54829.62
Delta,D07,COTTN,273624.19
Delta,D07,CUCUR,0
Delta,D07,DRYBN,120.51
Delta,D07,FRTOM,0
Delta,D07,GRAIN,84718.52
Delta,D07,ONGAR,3919.28
Delta,D07,OTHDEC,0
Delta,D07,OTHFLD,657689.93
Delta,D07,OTHTRK,21137.05
Delta,D07,PASTR,1655.56
Delta,D07,POTATO,12900.02
Delta,D07,PRTOM,1989.81
Delta,D07,RICE,0
Delta,D07,SAFLR,0
Delta,D07,SBEET,0
Delta,D07,SUBTRP,0
Delta,D07,VINE,41.4
Delta,D08,ALFAL,196014.22
Delta,D08,ALPIS,363.14
Delta,D08,CORN,44535.87
Delta,D08,COTTN,1565663.49
Delta,D08,CUCUR,0
Delta,D08,DRYBN,0
Delta,D08,FRTOM,0
Delta,D08,GRAIN,67674.07
Delta,D08,ONGAR,10999.81
Delta,D08,OTHDEC,333.11
Delta,D08,OTHFLD,256377.61
Delta,D08,OTHTRK,0
Delta,D08,PASTR,0
Delta,D08,POTATO,0
Delta,D08,PRTOM,20986.47
Delta,D08,RICE,0
Delta,D08,SAFLR,0
Delta,D08,SBEET,0
Delta,D08,SUBTRP,53539.71
Delta,D08,VINE,60.13
Delta,D09,ALFAL,0
Delta,D09,ALPIS,741.16
Delta,D09,CORN,0
Delta,D09,COTTN,0
Delta,D09,CUCUR,0
Delta,D09,DRYBN,0
Delta,D09,FRTOM,0
Delta,D09,GRAIN,3310.94
Delta,D09,ONGAR,0
Delta,D09,OTHDEC,184.49
Delta,D09,OTHFLD,0
Delta,D09,OTHTRK,2985.92
Delta,D09,PASTR,0
Delta,D09,POTATO,1584.66
Delta,D09,PRTOM,0
Delta,D09,RICE,0
Delta,D09,SAFLR,0
Delta,D09,SBEET,0
Delta,D09,SUBTRP,5775942.3
Delta,D09,VINE,1053.66
Delta,D10,ALFAL,0
Delta,D10,ALPIS,0
Delta,D10,CORN,0
Delta,D10,COTTN,741021.43
Delta,D10,CUCUR,0
Delta,D10,DRYBN,122.56
Delta,D10,FRTOM,0
Delta,D10,GRAIN,12443.88
Delta,D10,ONGAR,6315.7
Delta,D10,OTHDEC,0
Delta,D10,OTHFLD,0
Delta,D10,OTHTRK,0
Delta,D10,PASTR,0
Delta,D10,POTATO,0
Delta,D10,PRTOM,85814.3
Delta,D10,RICE,0
Delta,D10,SAFLR,2102.68
Delta,D10,SBEET,0
Delta,D10,SUBTRP,0
Delta,D10,VINE,0
Delta,D11,ALFAL,3695.21
Delta,D11,ALPIS,1513.05
Delta,D11,CORN,0
Delta,D11,COTTN,0
Delta,D11,CUCUR,0
Delta,D11,DRYBN,0
Delta,D11,FRTOM,0
Delta,D11,GRAIN,30370.31
Delta,D11,ONGAR,0
Delta,D11,OTHDEC,1535.6
Delta,D11,OTHFLD,0
Delta,D11,OTHTRK,0
Delta,D11,PASTR,3018.15
Delta,D11,POTATO,0
Delta,D11,PRTOM,0
Delta,D11,RICE,0
Delta,D11,SAFLR,1339.77
Delta,D11,SBEET,0
Delta,D11,SUBTRP,0
Delta,D11,VINE,68.2
Delta,fk13,ALFAL,617445.5
Delta,fk13,ALPIS,728.05
Delta,fk13,CORN,1228360.82
Delta,fk13,COTTN,0
Delta,fk13,CUCUR,0
Delta,fk13,DRYBN,1806.8
Delta,fk13,FRTOM,0
Delta,fk13,GRAIN,0
Delta,fk13,ONGAR,0
Delta,fk13,OTHDEC,786.62
Delta,fk13,OTHFLD,0
Delta,fk13,OTHTRK,2008.7
Delta,fk13,PASTR,1272.53
Delta,fk13,POTATO,0
Delta,fk13,PRTOM,0
Delta,fk13,RICE,0
Delta,fk13,SAFLR,0
Delta,fk13,SBEET,0
Delta,fk13,SUBTRP,46994.8
Delta,fk13,VINE,91.2
Delta,fk08,ALFAL,14536.36
Delta,fk08,ALPIS,459.46
Delta,fk08,CORN,79539.96
Delta,fk08,COTTN,0
Delta,fk08,CUCUR,0
Delta,fk08,DRYBN,0
Delta,fk08,FRTOM,0
Delta,fk08,GRAIN,1138.04
Delta,fk08,ONGAR,0
Delta,fk08,OTHDEC,374.04
Delta,fk08,OTHFLD,0
Delta,fk08,OTHTRK,0
Delta,fk08,PASTR,0
Delta,fk08,POTATO,0
Delta,fk08,PRTOM,0
