Parameter,Region,Crop,Level
GAMMA_DEC,D02,ALFAL,7.82307E-05
GAMMA_DEC,D02,ALPIS,0.00201268
GAMMA_DEC,D02,CORN,0.000115669
GAMMA_DEC,D02,COTTN,0.000131114
GAMMA_DEC,D02,CUCUR,0.058808984
GAMMA_DEC,D02,DRYBN,0.027436429
GAMMA_DEC,D02,FRTOM,0.017656225
GAMMA_DEC,D02,GRAIN,0.000077637
GAMMA_DEC,D02,ONGAR,0.002827612
GAMMA_DEC,D02,OTHDEC,0.050706252
GAMMA_DEC,D02,OTHFLD,5.94176E-05
GAMMA_DEC,D02,OTHTRK,0.000567747
GAMMA_DEC,D02,PASTR,0.001841412
GAMMA_DEC,D02,POTATO,0.003154685
GAMMA_DEC,D02,PRTOM,0.002040542
GAMMA_DEC,D02,RICE,0
GAMMA_DEC,D02,SAFLR,0.004303176
GAMMA_DEC,D02,SBEET,0
GAMMA_DEC,D02,SUBTRP,0
GAMMA_DEC,D02,VINE,0.00180455
GAMMA_DEC,D03,ALFAL,0.000845031
GAMMA_DEC,D03,ALPIS,0.000607771
GAMMA_DEC,D03,CORN,0.005452566
GAMMA_DEC,D03,COTTN,0.000404768
GAMMA_DEC,D03,CUCUR,0.011029424
GAMMA_DEC,D03,DRYBN,0.043130134
GAMMA_DEC,D03,FRTOM,0.004917527
GAMMA_DEC,D03,GRAIN,0.000491266
GAMMA_DEC,D03,ONGAR,0.001687487
GAMMA_DEC,D03,OTHDEC,0.002896655
GAMMA_DEC,D03,OTHFLD,0.000403794
GAMMA_DEC,D03,OTHTRK,0.0004393
GAMMA_DEC,D03,PASTR,0
GAMMA_DEC,D03,POTATO,0.001995816
GAMMA_DEC,D03,PRTOM,0.001484408
GAMMA_DEC,D03,RICE,0
GAMMA_DEC,D03,SAFLR,0.017633481
GAMMA_DEC,D03,SBEET,0
GAMMA_DEC,D03,SUBTRP,9.56785E-05
GAMMA_DEC,D03,VINE,0.000410408
GAMMA_DEC,D04,ALFAL,0.013368821
GAMMA_DEC,D04,ALPIS,0
GAMMA_DEC,D04,CORN,0
GAMMA_DEC,D04,COTTN,0
GAMMA_DEC,D04,CUCUR,0
GAMMA_DEC,D04,DRYBN,0
GAMMA_DEC,D04,FRTOM,0
GAMMA_DEC,D04,GRAIN,0
GAMMA_DEC,D04,ONGAR,0.073623265
GAMMA_DEC,D04,OTHDEC,0
GAMMA_DEC,D04,OTHFLD,0
GAMMA_DEC,D04,OTHTRK,0.07422956
GAMMA_DEC,D04,PASTR,0
GAMMA_DEC,D04,POTATO,0
GAMMA_DEC,D04,PRTOM,0
GAMMA_DEC,D04,RICE,0
GAMMA_DEC,D04,SAFLR,0
GAMMA_DEC,D04,SBEET,0
GAMMA_DEC,D04,SUBTRP,0.010810811
GAMMA_DEC,D04,VINE,0
GAMMA_DEC,D01,ALFAL,0
GAMMA_DEC,D01,ALPIS,0
GAMMA_DEC,D01,CORN,0
GAMMA_DEC,D01,COTTN,0
GAMMA_DEC,D01,CUCUR,0
GAMMA_DEC,D01,DRYBN,0
GAMMA_DEC,D01,FRTOM,0
GAMMA_DEC,D01,GRAIN,0
GAMMA_DEC,D01,ONGAR,0
GAMMA_DEC,D01,OTHDEC,0
GAMMA_DEC,D01,OTHFLD,0
GAMMA_DEC,D01,OTHTRK,0
GAMMA_DEC,D01,PASTR,0
GAMMA_DEC,D01,POTATO,0
GAMMA_DEC,D01,PRTOM,0
GAMMA_DEC,D01,RICE,0
GAMMA_DEC,D01,SAFLR,0
GAMMA_DEC,D01,SBEET,0
GAMMA_DEC,D01,SUBTRP,0
GAMMA_DEC,D01,VINE,0
GAMMA_DEC,D05,ALFAL,0
GAMMA_DEC,D05,ALPIS,0.000488504
GAMMA_DEC,D05,CORN,0
GAMMA_DEC,D05,COTTN,0
GAMMA_DEC,D05,CUCUR,0.292192329
GAMMA_DEC,D05,DRYBN,0
GAMMA_DEC,D05,FRTOM,0
GAMMA_DEC,D05,GRAIN,0.002296587
