Parameter,Region,Crop,Level
Gamma,D02,ALFAL,0
Gamma,D02,ALPIS,0
Gamma,D02,CORN,0
Gamma,D02,COTTN,0
Gamma,D02,CUCUR,0.06
Gamma,D02,DRYBN,0.03
Gamma,D02,FRTOM,0.02
Gamma,D02,GRAIN,0
Gamma,D02,ONGAR,0
Gamma,D02,OTHDEC,0.05
Gamma,D02,OTHFLD,0
Gamma,D02,OTHTRK,0
Gamma,D02,PASTR,0
Gamma,D02,POTATO,0
Gamma,D02,PRTOM,0
Gamma,D02,RICE,0
Gamma,D02,SAFLR,0
Gamma,D02,SBEET,0
Gamma,D02,SUBTRP,0
Gamma,D02,VINE,0
Gamma,D03,ALFAL,0
Gamma,D03,ALPIS,0
Gamma,D03,CORN,0.01
Gamma,D03,COTTN,0
Gamma,D03,CUCUR,0.01
Gamma,D03,DRYBN,0.04
Gamma,D03,FRTOM,0
Gamma,D03,GRAIN,0
Gamma,D03,ONGAR,0
Gamma,D03,OTHDEC,0
Gamma,D03,OTHFLD,0
Gamma,D03,OTHTRK,0
Gamma,D03,PASTR,0
Gamma,D03,POTATO,0
Gamma,D03,PRTOM,0
Gamma,D03,RICE,0
Gamma,D03,SAFLR,0.02
Gamma,D03,SBEET,0
Gamma,D03,SUBTRP,0
Gamma,D03,VINE,0
Gamma,D04,ALFAL,0.01
Gamma,D04,ALPIS,0
Gamma,D04,CORN,0
Gamma,D04,COTTN,0
Gamma,D04,CUCUR,0
Gamma,D04,DRYBN,0
Gamma,D04,FRTOM,0
Gamma,D04,GRAIN,0
Gamma,D04,ONGAR,0.07
Gamma,D04,OTHDEC,0
Gamma,D04,OTHFLD,0
Gamma,D04,OTHTRK,0.07
Gamma,D04,PASTR,0
Gamma,D04,POTATO,0
Gamma,D04,PRTOM,0
Gamma,D04,RICE,0
Gamma,D04,SAFLR,0
Gamma,D04,SBEET,0
Gamma,D04,SUBTRP,0.01
Gamma,D04,VINE,0
Gamma,D01,ALFAL,0
Gamma,D01,ALPIS,0
Gamma,D01,CORN,0
Gamma,D01,COTTN,0
Gamma,D01,CUCUR,0
Gamma,D01,DRYBN,0
Gamma,D01,FRTOM,0
Gamma,D01,GRAIN,0
Gamma,D01,ONGAR,0
Gamma,D01,OTHDEC,0
Gamma,D01,OTHFLD,0
Gamma,D01,OTHTRK,0
Gamma,D01,PASTR,0
Gamma,D01,POTATO,0
Gamma,D01,PRTOM,0
Gamma,D01,RICE,0
Gamma,D01,SAFLR,0
Gamma,D01,SBEET,0
Gamma,D01,SUBTRP,0
Gamma,D01,VINE,0
Gamma,D05,ALFAL,0
Gamma,D05,ALPIS,0
Gamma,D05,CORN,0
Gamma,D05,COTTN,0
Gamma,D05,CUCUR,0.29
Gamma,D05,DRYBN,0
Gamma,D05,FRTOM,0
Gamma,D05,GRAIN,0
Gamma,D05,ONGAR,0
Gamma,D05,OTHDEC,0
Gamma,D05,OTHFLD,0
Gamma,D05,OTHTRK,0
Gamma,D05,PASTR,0
Gamma,D05,POTATO,0
Gamma,D05,PRTOM,0
Gamma,D05,RICE,0
Gamma,D05,SAFLR,0.01
Gamma,D05,SBEET,0
Gamma,D05,SUBTRP,0
Gamma,D05,VINE,0.04
Gamma,D06,ALFAL,0
Gamma,D06,ALPIS,0
Gamma,D06,CORN,0
Gamma,D06,COTTN,0
Gamma,D06,CUCUR,0.04
Gamma,D06,DRYBN,0.01
Gamma,D06,FRTOM,0
Gamma,D06,GRAIN,0
Gamma,D06,ONGAR,0.01
Gamma,D06,OTHDEC,0.01
Gamma,D06,OTHFLD,0
Gamma,D06,OTHTRK,0
Gamma,D06,PASTR,0
Gamma,D06,POTATO,0
Gamma,D06,PRTOM,0
Gamma,D06,RICE,0
Gamma,D06,SAFLR,0.02
Gamma,D06,SBEET,0
Gamma,D06,SUBTRP,0
Gamma,D06,VINE,0
Gamma,D07,ALFAL,0
Gamma,D07,ALPIS,0
Gamma,D07,CORN,0
Gamma,D07,COTTN,0
Gamma,D07,CUCUR,0
Gamma,D07,DRYBN,0.03
Gamma,D07,FRTOM,0
Gamma,D07,GRAIN,0
Gamma,D07,ONGAR,0.01
Gamma,D07,OTHDEC,0
Gamma,D07,OTHFLD,0
Gamma,D07,OTHTRK,0
Gamma,D07,PASTR,0.02
Gamma,D07,POTATO,0
Gamma,D07,PRTOM,0.05
Gamma,D07,RICE,0
Gamma,D07,SAFLR,0
Gamma,D07,SBEET,0
