"Parameter","Region","Crop","Level"
"GROSSREV","D02","ALFAL",31057501.92
"GROSSREV","D02","ALPIS",36805880.10
"GROSSREV","D02","CORN",26243513.48
"GROSSREV","D02","COTTN",17183380.70
"GROSSREV","D02","CUCUR",2376108.36
"GROSSREV","D02","DRYBN",324715.51
"GROSSREV","D02","FRTOM",2207375.73
"GROSSREV","D02","GRAIN",37629429.85
"GROSSREV","D02","ONGAR",21867999.04
"GROSSREV","D02","OTHDEC",2524315.14
"GROSSREV","D02","OTHFLD",10016355.56
"GROSSREV","D02","OTHTRK",129185914.90
"GROSSREV","D02","PASTR",673867.03
"GROSSREV","D02","POTATO",12595817.25
"GROSSREV","D02","PRTOM",6491459.28
"GROSSREV","D02","RICE",0.00
"GROSSREV","D02","SAFLR",533841.44
"GROSSREV","D02","SBEET",0.00
"GROSSREV","D02","SUBTRP",0.00
"GROSSREV","D02","VINE",53696914.69
"GROSSREV","D03","ALFAL",2874610.43
"GROSSREV","D03","ALPIS",121907363.29
"GROSSREV","D03","CORN",555389.19
"GROSSREV","D03","COTTN",5559355.96
"GROSSREV","D03","CUCUR",12670404.29
"GROSSREV","D03","DRYBN",206315.02
"GROSSREV","D03","FRTOM",7925514.08
"GROSSREV","D03","GRAIN",5924743.70
"GROSSREV","D03","ONGAR",36645339.50
"GROSSREV","D03","OTHDEC",44192916.11
"GROSSREV","D03","OTHFLD",1465461.45
"GROSSREV","D03","OTHTRK",166951352.00
"GROSSREV","D03","PASTR",0.00
"GROSSREV","D03","POTATO",19909888.59
"GROSSREV","D03","PRTOM",8921717.71
"GROSSREV","D03","RICE",0.00
"GROSSREV","D03","SAFLR",129232.32
"GROSSREV","D03","SBEET",0.00
"GROSSREV","D03","SUBTRP",226416930.69
"GROSSREV","D03","VINE",236129548.63
"GROSSREV","D04","ALFAL",180940.96
"GROSSREV","D04","ALPIS",0.00
"GROSSREV","D04","CORN",0.00
"GROSSREV","D04","COTTN",0.00
"GROSSREV","D04","CUCUR",0.00
"GROSSREV","D04","DRYBN",0.00
"GROSSREV","D04","FRTOM",0.00
"GROSSREV","D04","GRAIN",0.00
"GROSSREV","D04","ONGAR",839802.78
"GROSSREV","D04","OTHDEC",0.00
"GROSSREV","D04","OTHFLD",0.00
"GROSSREV","D04","OTHTRK",988044.92
"GROSSREV","D04","PASTR",0.00
"GROSSREV","D04","POTATO",0.00
"GROSSREV","D04","PRTOM",0.00
"GROSSREV","D04","RICE",0.00
"GROSSREV","D04","SAFLR",0.00
"GROSSREV","D04","SBEET",0.00
"GROSSREV","D04","SUBTRP",2003213.22
"GROSSREV","D04","VINE",0.00
"GROSSREV","D01","ALFAL",0.00
"GROSSREV","D01","ALPIS",0.00
"GROSSREV","D01","CORN",0.00
"GROSSREV","D01","COTTN",0.00
"GROSSREV","D01","CUCUR",0.00
"GROSSREV","D01","DRYBN",0.00
"GROSSREV","D01","FRTOM",0.00
"GROSSREV","D01","GRAIN",0.00
"GROSSREV","D01","ONGAR",0.00
"GROSSREV","D01","OTHDEC",0.00
"GROSSREV","D01","OTHFLD",0.00
"GROSSREV","D01","OTHTRK",0.00
"GROSSREV","D01","PASTR",0.00
"GROSSREV","D01","POTATO",0.00
"GROSSREV","D01","PRTOM",0.00
"GROSSREV","D01","RICE",0.00
"GROSSREV","D01","SAFLR",0.00
"GROSSREV","D01","SBEET",0.00
"GROSSREV","D01","SUBTRP",0.00
"GROSSREV","D01","VINE",0.00
"GROSSREV","D05","ALFAL",0.00
"GROSSREV","D05","ALPIS",151634406.71
"GROSSREV","D05","CORN",0.00
"GROSSREV","D05","COTTN",0.00
"GROSSREV","D05","CUCUR",478206.89
"GROSSREV","D05","DRYBN",0.00
"GROSSREV","D05","FRTOM",0.00
"GROSSREV","D05","GRAIN",1270066.35
"GROSSREV","D05","ONGAR",0.00
"GROSSREV","D05","OTHDEC",25882897.85
"GROSSREV","D05","OTHFLD",895845.52
"GROSSREV","D05","OTHTRK",31736320.37
"GROSSREV","D05","PASTR",0.00
"GROSSREV","D05","POTATO",0.00
"GROSSREV","D05","PRTOM",0.00
"GROSSREV","D05","RICE",0.00
"GROSSREV","D05","SAFLR",247240.64
"GROSSREV","D05","SBEET",0.00
"GROSSREV","D05","SUBTRP",0.00
"GROSSREV","D05","VINE",2664352.42
"GROSSREV","D06","ALFAL",27298761.22
"GROSSREV","D06","ALPIS",498857169.88
"GROSSREV","D06","CORN",15021968.04
"GROSSREV","D06","COTTN",10825365.96
"GROSSREV","D06","CUCUR",3351939.14
"GROSSREV","D06","DRYBN",741162.83
"GROSSREV","D06","FRTOM",0.00
"GROSSREV","D06","GRAIN",21948063.58
"GROSSREV","D06","ONGAR",11283594.97
"GROSSREV","D06","OTHDEC",20814275.84
"GROSSREV","D06","OTHFLD",4424424.85
"GROSSREV","D06","OTHTRK",38109893.87
"GROSSREV","D06","PASTR",270571.47
"GROSSREV","D06","POTATO",0.00
"GROSSREV","D06","PRTOM",3899293.15
"GROSSREV","D06","RICE",0.00
"GROSSREV","D06","SAFLR",132683.23
"GROSSREV","D06","SBEET",0.00
"GROSSREV","D06","SUBTRP",8112942.46
"GROSSREV","D06","VINE",47860777.12
"GROSSREV","D07","ALFAL",6278714.22
"GROSSREV","D07","ALPIS",91076851.08
"GROSSREV","D07","CORN",1449793.78
"GROSSREV","D07","COTTN",2803118.19
"GROSSREV","D07","CUCUR",0.00
"GROSSREV","D07","DRYBN",314970.46
"GROSSREV","D07","FRTOM",0.00
"GROSSREV","D07","GRAIN",3973536.48
"GROSSREV","D07","ONGAR",4127264.39
"GROSSREV","D07","OTHDEC",0.00
"GROSSREV","D07","OTHFLD",862652.36
"GROSSREV","D07","OTHTRK",21973312.62
"GROSSREV","D07","PASTR",65605.38
"GROSSREV","D07","POTATO",13607145.44
"GROSSREV","D07","PRTOM",276318.90
"GROSSREV","D07","RICE",0.00
"GROSSREV","D07","SAFLR",0.00
"GROSSREV","D07","SBEET",0.00
"GROSSREV","D07","SUBTRP",0.00
"GROSSREV","D07","VINE",3486579.64
"GROSSREV","D08","ALFAL",8845243.79
"GROSSREV","D08","ALPIS",32019197.18
"GROSSREV","D08","CORN",1652554.69
"GROSSREV","D08","COTTN",21406779.49
"GROSSREV","D08","CUCUR",1251864.84
"GROSSREV","D08","DRYBN",0.00
"GROSSREV","D08","FRTOM",0.00
"GROSSREV","D08","GRAIN",5165877.23
"GROSSREV","D08","ONGAR",11845918.16
"GROSSREV","D08","OTHDEC",28244648.35
"GROSSREV","D08","OTHFLD",526719.22
"GROSSREV","D08","OTHTRK",0.00
"GROSSREV","D08","PASTR",0.00
"GROSSREV","D08","POTATO",0.00
"GROSSREV","D08","PRTOM",3191953.73
"GROSSREV","D08","RICE",0.00
"GROSSREV","D08","SAFLR",0.00
"GROSSREV","D08","SBEET",0.00
"GROSSREV","D08","SUBTRP",843879.23
"GROSSREV","D08","VINE",5175025.32
"GROSSREV","D09","ALFAL",0.00
"GROSSREV","D09","ALPIS",86488504.13
"GROSSREV","D09","CORN",0.00
"GROSSREV","D09","COTTN",0.00
"GROSSREV","D09","CUCUR",1816654.86
"GROSSREV","D09","DRYBN",0.00
"GROSSREV","D09","FRTOM",0.00
"GROSSREV","D09","GRAIN",432746.95
"GROSSREV","D09","ONGAR",0.00
"GROSSREV","D09","OTHDEC",17890497.44
"GROSSREV","D09","OTHFLD",0.00
"GROSSREV","D09","OTHTRK",3304712.08
"GROSSREV","D09","PASTR",0.00
"GROSSREV","D09","POTATO",1883697.19
