Month,PCH_pump
10/1/1996,12.236
11/1/1996,12.128
12/1/1996,9.255
1/1/1997,13.695
2/1/1997,7.399
3/1/1997,8.588
4/1/1997,17.781
5/1/1997,19.773
6/1/1997,17.537
7/1/1997,14.439
8/1/1997,11.355
9/1/1997,11.604
10/1/1997,4.835
11/1/1997,2.151
12/1/1997,2.035
1/1/1998,7.793
2/1/1998,6.47
3/1/1998,7.856
4/1/1998,8.052
5/1/1998,5.966
6/1/1998,4.519
7/1/1998,11.114
8/1/1998,11.673
9/1/1998,10.969
10/1/1998,8.144
11/1/1998,5.413
12/1/1998,6.1
1/1/1999,9.995
2/1/1999,8.348
3/1/1999,10.945
4/1/1999,10.908
5/1/1999,16.839
6/1/1999,17.863
7/1/1999,16.032
8/1/1999,17.156
9/1/1999,11.798
10/1/1999,9.609
11/1/1999,3.563
12/1/1999,6.36
1/1/2000,6.712
2/1/2000,5.403
3/1/2000,8.541
4/1/2000,6.051
5/1/2000,10.446
6/1/2000,14.302
7/1/2000,16.854
8/1/2000,12.928
9/1/2000,12.073
10/1/2000,8.437
11/1/2000,6.02
12/1/2000,6.828
1/1/2001,12.635
2/1/2001,8.912
3/1/2001,8.593
4/1/2001,14.133
5/1/2001,21.105
6/1/2001,22.785
7/1/2001,21.758
8/1/2001,17.114
9/1/2001,12.668
10/1/2001,11.383
11/1/2001,10.44
12/1/2001,9.233
1/1/2002,9.043
2/1/2002,10.666
3/1/2002,9.905
4/1/2002,13.875
5/1/2002,16.276
6/1/2002,14.32
7/1/2002,15.327
8/1/2002,15.271
9/1/2002,14.808
10/1/2002,17.639
11/1/2002,11.915
12/1/2002,9.704
1/1/2003,4.224
2/1/2003,3.392
3/1/2003,7.275
4/1/2003,10.003
5/1/2003,10.783
6/1/2003,14.651
7/1/2003,20.505
8/1/2003,20.27
9/1/2003,3.699
10/1/2003,12.439
11/1/2003,11.49
12/1/2003,11.546
1/1/2004,11.071
2/1/2004,9.938
3/1/2004,6.892
4/1/2004,9.972
5/1/2004,16.769
6/1/2004,19.696
7/1/2004,21.48
8/1/2004,18.586
9/1/2004,14.294
10/1/2004,8.347
11/1/2004,10.828
12/1/2004,8.424
1/1/2005,10.593
2/1/2005,3.673
3/1/2005,2.497
4/1/2005,2.218
5/1/2005,5.866
6/1/2005,9.213
7/1/2005,14.527
8/1/2005,18.542
9/1/2005,15.439
10/1/2005,16.5
11/1/2005,5.845
12/1/2005,6.696
1/1/2006,2.828
2/1/2006,6.36
3/1/2006,2.453
4/1/2006,2.18
5/1/2006,3.242
6/1/2006,7.99
7/1/2006,12.486
8/1/2006,12.643
9/1/2006,11.827
10/1/2006,10.168
11/1/2006,9.719
12/1/2006,7.962
1/1/2007,8.148
2/1/2007,12.12
3/1/2007,14.024
4/1/2007,17.641
5/1/2007,18.909
6/1/2007,19.898
7/1/2007,18.795
8/1/2007,17.378
9/1/2007,14.118
10/1/2007,9.577
11/1/2007,3.497
12/1/2007,0.108
1/1/2008,5.861
2/1/2008,3.196
3/1/2008,7.383
4/1/2008,14.286
5/1/2008,17.98
6/1/2008,19.82
7/1/2008,16.065
8/1/2008,12.253
9/1/2008,9.818
10/1/2008,9.438
11/1/2008,10.08
12/1/2008,10.431
1/1/2009,12.787
2/1/2009,2.976
3/1/2009,0
4/1/2009,1.58
5/1/2009,14.85
6/1/2009,13.409
7/1/2009,15.795
8/1/2009,11.946
9/1/2009,10.724
10/1/2009,6.039
11/1/2009,4.254
12/1/2009,6.274
1/1/2010,7.319
2/1/2010,2.954
3/1/2010,1.058
4/1/2010,4.87
5/1/2010,9.807
6/1/2010,9.236
7/1/2010,14.484
8/1/2010,15.642
9/1/2010,12.833
10/1/2010,9.626
11/1/2010,5.604
12/1/2010,3.342
1/1/2011,7.752
2/1/2011,1.127
3/1/2011,1.866
4/1/2011,0.756
5/1/2011,2.301
6/1/2011,11.334
7/1/2011,14.257
8/1/2011,14.839
9/1/2011,13.28
10/1/2011,9.891
11/1/2011,9.436
12/1/2011,13.914
1/1/2012,15.47
2/1/2012,13.515
3/1/2012,11.947
4/1/2012,9.878
5/1/2012,16.074
6/1/2012,15.375
7/1/2012,16.234
8/1/2012,17.273
9/1/2012,13.113
10/1/2012,8.769
11/1/2012,10.611
12/1/2012,8.54
1/1/2013,6.404
2/1/2013,3.059
3/1/2013,10.705
4/1/2013,14.973
5/1/2013,19.423
6/1/2013,14.115
7/1/2013,18.088
8/1/2013,13.965
9/1/2013,11.462
10/1/2013,7.007
11/1/2013,5.783
12/1/2013,3.693
1/1/2014,10.098
2/1/2014,6.801
3/1/2014,17.117
4/1/2014,17.344
5/1/2014,9.971
6/1/2014,5.36
7/1/2014,3.624
8/1/2014,1.628
9/1/2014,1.202
10/1/2014,1.007
11/1/2014,0.866
12/1/2014,4.021
1/1/2015,1.914
2/1/2015,2.962
3/1/2015,3.504
4/1/2015,7.231
5/1/2015,8.031
6/1/2015,8.298
7/1/2015,7.039
8/1/2015,0.279
9/1/2015,5.528
10/1/2015,2.583
11/1/2015,2.338
12/1/2015,3.624
1/1/2016,2.809
2/1/2016,2.23
3/1/2016,1.439
4/1/2016,2.443
5/1/2016,10.689
6/1/2016,19.588
7/1/2016,8.59
8/1/2016,12.078
9/1/2016,14.824
