ORO_fnf,SHA_fnf,FOL_fnf,YRS_fnf,MHB_fnf,PAR_fnf,NHG_fnf,NML_fnf,DNP_fnf,EXC_fnf,MIL_fnf,PFT_fnf,KWH_fnf,SUC_fnf,ISB_fnf,ORO_otf,SHA_otf,FOL_otf,YRS_otf,MHB_otf,PAR_otf,NHG_otf,NML_otf,DNP_otf,EXC_otf,MIL_otf,PFT_otf,KWH_otf,SUC_otf,ISB_otf
16867.05666,337493.5821,12210.27214,0,1714.132753,1033.543082,76.34825181,1344.521134,4314.19484,296.4534444,1048.487717,1308.662541,352.5560025,83.02032024,1613.723664,2084.927324,6734.79443,5423.845396,2835.962311,1927.195366,588.6960281,66.56148177,501.3796127,2293.311304,1215.876477,587.1946214,909.4300259,172.5682902,372.8954269,301.8282785
14225.87518,186469.0568,12840.89867,0,2874.038773,932.873001,86.43163195,1170.788144,9333.614823,330.525852,1048.487717,1067.233447,259.4114024,92.84004941,1874.637021,2822.423149,6547.388716,6145.910134,3293.294371,1126.098964,770.7606732,66.56148177,665.7572364,2293.311304,759.8209707,385.6046334,741.6500726,126.4126635,287.2317179,291.7961056
11781.0055,110405.0923,11207.92816,0,4536.633037,924.3680616,67.7044681,1173.721074,6818.017442,306.6751667,1174.646101,1288.526061,236.7800252,101.7631414,1826.393499,2315.897889,9120.411429,5223.208883,3293.294371,707.9907668,574.0766101,67.77267108,665.7572364,2293.311304,576.641391,220.8256738,895.4402859,266.8700557,453.5176553,348.9530907
10596.40499,88897.96702,10013.94745,0,2143.756219,901.6933683,986.7595801,1315.317304,4281.814198,314.6293115,1319.155429,1548.213621,243.7373029,124.0802801,1155.410209,1384.662344,6118.114142,5086.050588,3293.294371,530.5423799,636.5413963,250.5072073,2300.033003,1325.231473,485.0516011,364.6984801,1075.928394,2781.058388,354.893693,315.8611358
9222.222445,68501.95077,8808.410754,0,1486.45251,890.3483039,2611.595455,1329.919219,3682.281712,270.3234325,1424.78072,1249.192107,173.2341922,128.5493529,998.9949756,1624.224642,6917.344394,4287.613618,3293.294371,460.2795734,647.1737003,471.9818248,1505.448287,1883.125542,459.8203753,327.8874518,868.1177529,997.2565789,264.1885036,265.7307334
10244.81648,55401.34373,8702.205764,0,1359.700912,897.4331808,1695.559152,1693.41437,3693.075259,297.5813586,1424.78072,1294.055768,194.12625,95.51584799,881.0528436,2433.550455,8560.556543,4061.472463,3293.294371,484.8795427,601.9864082,216.6276131,927.4101944,513.457278,420.564463,246.7533536,899.2527324,460.5054392,221.7173472,308.8447071
9295.264876,45837.4845,7575.497385,0,1295.27243,849.2282338,769.2378012,1268.609996,3023.454804,277.137914,1506.147016,1324.208321,204.5722789,92.84004941,823.8577146,1401.876772,9560.578632,4525.090168,3293.294371,463.7938547,615.2767882,124.6513797,731.5222161,124.7781536,431.7820106,199.0792247,920.2319575,281.9251967,200.8466129,299.8177823
8287.279327,32921.80546,7492.679504,0,1185.728973,857.7331732,446.5696369,1268.609996,2925.331647,304.3958401,1642.647393,1840.870754,856.5844797,92.84004941,864.0680259,1958.605621,7969.336135,3301.150762,3293.294371,446.2224481,619.2639022,106.4992697,791.7986549,403.0237881,102.8051358,310.3222334,1279.32349,303.9925979,190.0422559,285.7849251
10396.64625,33938.9094,6939.780728,0,1097.647354,782.5933455,334.1942435,1325.54335,2828.329898,338.4799968,1788.43351,7446.741625,3010.236084,99.98492086,719.3153313,2650.278867,7224.569028,3458.004307,3028.1958,425.1367602,644.5156243,88.34491259,867.1337556,403.0237881,415.8969064,324.5465169,5175.019137,171.5578781,177.0902944,370.0125305
15767.64497,29127.69952,7175.440246,0,990.252229,778.3485935,246.3292203,1291.96365,2802.39735,382.7741267,1534.816738,4647.457883,1790.588899,357.9680327,659.4424656,2051.953644,5698.551069,4188.712286,3028.1958,407.5881736,499.6640434,54.45857705,679.4646585,403.0237881,384.1156896,354.6554273,3229.702175,146.4794487,164.1300411,298.8125343
21807.67952,25928.44529,6885.302521,0,889.2806171,734.3883985,208.8810977,1251.090835,2349.62907,442.9765462,1284.798191,6170.109651,2392.979934,246.3823396,590.6401223,941.2824547,6542.532965,4153.430865,3028.1958,390.0167669,312.2832463,72.61293413,758.9091999,160.6412925,398.1403762,290.2462517,4287.817613,220.7245331,154.055372,320.8772222
17617.17781,24116.15099,6597.91622,0,814.1104746,759.9186522,220.4071769,1162.036405,2429.389179,632.6541146,1741.30838,3000.439875,1007.177183,289.2289877,799.7359539,5700.731267,6041.996975,3855.168252,3028.1958,377.7167823,350.8253485,71.40174482,632.8817116,436.0073401,414.0254804,332.9089782,2085.106666,232.7585417,142.5379108,353.9691771
