datetime,ORO_cdf_inf,SHA_cdf_inf,FOL_cdf_inf,ORO_cdf_snow,SHA_cdf_snow,FOL_cdf_snow,cdf_year,cdf_month,cdf_day
10/1/1996,1768,4957,1521,0,0,0,1996,10,1
10/2/1996,2213,4683,1488,0,0,0,1996,10,2
10/3/1996,2904,4522,820,0,0,0,1996,10,3
10/4/1996,2904,5373,1110,0,0,0,1996,10,4
10/5/1996,2904,3464,1240,0,0,0,1996,10,5
10/6/1996,2904,4489,986,0,0,0,1996,10,6
10/7/1996,2904,4326,1303,0,0,0,1996,10,7
10/8/1996,3061,4134,1006,0,0,0,1996,10,8
10/9/1996,1922,3685,1823,0,0,0,1996,10,9
10/10/1996,1692,4770,1163,0,0,0,1996,10,10
10/11/1996,2491,4850,937,0,0,0,1996,10,11
10/12/1996,2808,4022,1222,0,0,0,1996,10,12
10/13/1996,1777,2884,952,0,0.01,0,1996,10,13
10/14/1996,1819,3466,935,0,0.01,0,1996,10,14
10/15/1996,2204,4046,1123,0,0.01,0,1996,10,15
10/16/1996,1953,4438,1375,0,0.01,0,1996,10,16
10/17/1996,2727,4248,1234,0,0.01,0,1996,10,17
10/18/1996,2216,4052,1414,1.21,0.2,0.63,1996,10,18
10/19/1996,3270,4259,1251,1.33,0.4,1.08,1996,10,19
10/20/1996,2092,3259,1667,1.33,0.43,1.08,1996,10,20
10/21/1996,3010,2777,1692,1.33,0.43,1.08,1996,10,21
10/22/1996,2416,4572,1056,1.35,0.6,1.08,1996,10,22
10/23/1996,2982,4223,1842,1.37,0.71,1.08,1996,10,23
10/24/1996,3376,4176,1730,1.98,1.17,1.99,1996,10,24
10/25/1996,3049,2707,1776,2.7,1.38,3.26,1996,10,25
10/26/1996,2454,3597,1558,2.93,1.5,3.47,1996,10,26
10/27/1996,2935,4421,1270,2.93,1.5,3.47,1996,10,27
10/28/1996,2768,3592,1309,2.93,1.5,3.47,1996,10,28
10/29/1996,4091,6943,1788,5.21,4.61,4.55,1996,10,29
10/30/1996,3188,3675,1606,6.25,5.24,5.38,1996,10,30
10/31/1996,2565,3583,1606,6.32,5.24,5.87,1996,10,31
11/1/1996,2565,4414,1440,6.32,5.24,5.87,1996,11,1
11/2/1996,2565,4132,1071,6.32,5.24,5.87,1996,11,2
11/3/1996,2872,3795,1167,6.32,5.24,5.87,1996,11,3
11/4/1996,2472,3768,1224,6.32,5.24,5.9,1996,11,4
11/5/1996,2355,4439,1383,6.32,5.24,5.9,1996,11,5
11/6/1996,2932,3806,1100,6.32,5.24,5.9,1996,11,6
11/7/1996,2886,4292,1335,6.32,5.24,5.9,1996,11,7
11/8/1996,3153,4292,1335,6.32,5.24,5.9,1996,11,8
11/9/1996,340,4266,938,6.32,5.24,5.9,1996,11,9
11/10/1996,2576,3529,1277,6.32,5.24,5.9,1996,11,10
11/11/1996,2335,3849,1361,6.32,5.24,5.9,1996,11,11
11/12/1996,2645,3567,1152,6.32,5.28,5.9,1996,11,12
11/13/1996,2355,4429,1082,6.32,5.28,5.9,1996,11,13
11/14/1996,2948,4384,1383,6.32,5.28,5.9,1996,11,14
11/15/1996,2353,4599,1543,6.36,5.28,6.06,1996,11,15
11/16/1996,3513,4645,1561,7.12,5.28,6.65,1996,11,16
11/17/1996,4991,5455,2629,10.47,6.53,12.97,1996,11,17
11/18/1996,9097,15403,8713,11.45,8.38,18.56,1996,11,18
11/19/1996,10021,20367,5747,17.35,16.35,20.67,1996,11,19
11/20/1996,9619,14271,4282,18.86,19.13,21.71,1996,11,20
11/21/1996,5957,11286,3055,19.73,19.89,22.92,1996,11,21
11/22/1996,7350,14690,4392,21.63,21.39,25.62,1996,11,22
11/23/1996,6644,10480,6044,21.87,21.8,26.71,1996,11,23
11/24/1996,3951,8200,3919,22.01,22.12,26.79,1996,11,24
11/25/1996,4008,7063,2953,22.26,22.22,26.85,1996,11,25
11/26/1996,3839,5924,2539,22.29,22.22,26.85,1996,11,26
11/27/1996,3374,5474,2274,22.29,22.22,26.85,1996,11,27
11/28/1996,3610,5737,2438,22.37,22.38,27.07,1996,11,28
11/29/1996,3666,5627,2467,22.37,22.41,27.33,1996,11,29
11/30/1996,3797,5087,1597,22.51,22.43,27.44,1996,11,30
12/1/1996,4007,5058,2511,24.14,22.99,29.35,1996,12,1
12/2/1996,2868,4091,3451,24.66,22.99,29.84,1996,12,2
12/3/1996,3315,6348,2848,24.66,22.99,29.84,1996,12,3
12/4/1996,3580,11342,2386,27.83,23.58,32.05,1996,12,4
12/5/1996,18714,8760,20758,34.57,26.3,39.12,1996,12,5
12/6/1996,10498,7369,12441,35.75,26.36,41.84,1996,12,6
12/7/1996,8257,16757,8412,36.52,29.29,42.08,1996,12,7
12/8/1996,8558,29775,6085,36.61,35.49,42.08,1996,12,8
12/9/1996,18225,65306,6735,39.92,41.91,43.86,1996,12,9
12/10/1996,43783,62701,14139,49.25,47.65,49.31,1996,12,10
12/11/1996,34994,33556,16438,53.77,48.35,54.17,1996,12,11
12/12/1996,30354,28863,46560,56.3,48.77,58.04,1996,12,12
12/13/1996,24668,28031,27517,57.02,49.27,60.37,1996,12,13
12/14/1996,16554,20351,16673,57.02,49.27,60.37,1996,12,14
12/15/1996,12500,16079,11372,57.02,49.27,60.37,1996,12,15
