Year,Month,Wateryear,WaterUser,Canal,delivery_taf,Date,Project,pumpin,WaterUserCode,contractor
1996.0,1,1996.0,alpaughi.d.,FRIANT-KERNCANAL,0.0,1996-01-01,CVP,False,OFK_non_contract,other
1996.0,2,1996.0,alpaughi.d.,FRIANT-KERNCANAL,1.375,1996-02-01,CVP,False,OFK_non_contract,other
1996.0,3,1996.0,alpaughi.d.,FRIANT-KERNCANAL,0.79,1996-03-01,CVP,False,OFK_non_contract,other
1996.0,4,1996.0,alpaughi.d.,FRIANT-KERNCANAL,0.557,1996-04-01,CVP,False,OFK_non_contract,other
1996.0,5,1996.0,alpaughi.d.,FRIANT-KERNCANAL,1.382,1996-05-01,CVP,False,OFK_non_contract,other
1996.0,6,1996.0,alpaughi.d.,FRIANT-KERNCANAL,2.759,1996-06-01,CVP,False,OFK_non_contract,other
1996.0,7,1996.0,alpaughi.d.,FRIANT-KERNCANAL,2.272,1996-07-01,CVP,False,OFK_non_contract,other
1996.0,8,1996.0,alpaughi.d.,FRIANT-KERNCANAL,3.123,1996-08-01,CVP,False,OFK_non_contract,other
1996.0,9,1996.0,alpaughi.d.,FRIANT-KERNCANAL,0.0,1996-09-01,CVP,False,OFK_non_contract,other
1996.0,10,1997.0,alpaughi.d.,FRIANT-KERNCANAL,0.0,1996-10-01,CVP,False,OFK_non_contract,other
1996.0,11,1997.0,alpaughi.d.,FRIANT-KERNCANAL,0.0,1996-11-01,CVP,False,OFK_non_contract,other
1996.0,12,1997.0,alpaughi.d.,FRIANT-KERNCANAL,0.0,1996-12-01,CVP,False,OFK_non_contract,other
1996.0,1,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,11.681,1996-01-01,CVP,False,ARV,friant
1996.0,2,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,29.982,1996-02-01,CVP,False,ARV,friant
1996.0,3,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,34.396,1996-03-01,CVP,False,ARV,friant
1996.0,4,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,46.792,1996-04-01,CVP,False,ARV,friant
1996.0,5,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,39.171,1996-05-01,CVP,False,ARV,friant
1996.0,6,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,26.741,1996-06-01,CVP,False,ARV,friant
1996.0,7,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,9.197,1996-07-01,CVP,False,ARV,friant
1996.0,8,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,11.678,1996-08-01,CVP,False,ARV,friant
1996.0,9,1996.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,11.959,1996-09-01,CVP,False,ARV,friant
1996.0,10,1997.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,10.05,1996-10-01,CVP,False,ARV,friant
1996.0,11,1997.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,2.303,1996-11-01,CVP,False,ARV,friant
1996.0,12,1997.0,arvin-edisonw.s.d.,FRIANT-KERNCANAL,0.203,1996-12-01,CVP,False,ARV,friant
1996.0,1,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,0.0,1996-01-01,CVP,False,OFK_non_contract,other
1996.0,2,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,0.661,1996-02-01,CVP,False,OFK_non_contract,other
1996.0,3,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,0.675,1996-03-01,CVP,False,OFK_non_contract,other
1996.0,4,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,0.477,1996-04-01,CVP,False,OFK_non_contract,other
1996.0,5,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,1.162,1996-05-01,CVP,False,OFK_non_contract,other
1996.0,6,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,1.45,1996-06-01,CVP,False,OFK_non_contract,other
1996.0,7,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,1.28,1996-07-01,CVP,False,OFK_non_contract,other
1996.0,8,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,0.816,1996-08-01,CVP,False,OFK_non_contract,other
1996.0,9,1996.0,atwellislandw.d.,FRIANT-KERNCANAL,0.0,1996-09-01,CVP,False,OFK_non_contract,other
1996.0,10,1997.0,atwellislandw.d.,FRIANT-KERNCANAL,0.0,1996-10-01,CVP,False,OFK_non_contract,other
1996.0,11,1997.0,atwellislandw.d.,FRIANT-KERNCANAL,0.0,1996-11-01,CVP,False,OFK_non_contract,other
1996.0,12,1997.0,atwellislandw.d.,FRIANT-KERNCANAL,0.0,1996-12-01,CVP,False,OFK_non_contract,other
1996.0,1,1996.0,delano-earlimarti.d.,FRIANT-KERNCANAL,0.508,1996-01-01,CVP,False,DLE,friant
1996.0,2,1996.0,delano-earlimarti.d.,FRIANT-KERNCANAL,0.771,1996-02-01,CVP,False,DLE,friant
1996.0,3,1996.0,delano-earlimarti.d.,FRIANT-KERNCANAL,0.0,1996-03-01,CVP,False,DLE,friant
1996.0,4,1996.0,delano-earlimarti.d.,FRIANT-KERNCANAL,16.557,1996-04-01,CVP,False,DLE,friant
1996.0,5,1996.0,delano-earlimarti.d.,FRIANT-KERNCANAL,22.911,1996-05-01,CVP,False,DLE,friant
