Year,Bill_To_Agency_Name,Notes,Water_Type,WT_Group,AG_MI,Billing,Delivery,Allocation,SWP,SWP2,To_Reach,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Actual_Tot,Agency_Name,Materia,Turnout,Plant,Agenc,Water,Bill,Accou,Pool,CAR
2000,ALAMEDA COUNTY FC&WCD-ZONE 7,00-037 A,ART.21, Article 21 , MI , Y , Y , N , Y , Y ,VCA-R10A, -   ,"1,340","2,400", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,740",KERN COUNTY WA,MI-GRD,T226,WRDA,77,N/A,66,45,4P25,Y
2000,ALAMEDA COUNTY FC&WCD-ZONE 7,00-037 A,TBLA, Table A , MI , Y , Y , Y , Y , Y ,VCA-R10A, -   , -   , -   , -   , -   ,"8,000","8,000","1,200", -   , -   , -   , -   ,"17,200",KERN COUNTY WA,MI-GRD,T225,WRDA,77,N/A,66,442,4P25,Y
2000,ALAMEDA COUNTY FC&WCD-ZONE 7,00-037 A,TBLA, Table A , MI , Y , Y , Y , Y , Y ,VCA-R10A, -   , -   , -   , -   ,"3,000", -   , -   , -   , -   , -   , -   , -   ,"3,000",KERN COUNTY WA,MI-GRD,T226,WRDA,77,N/A,66,442,4P25,Y
2000,ALAMEDA COUNTY WD,00-030,ART.21, Article 21 , MI , Y , Y , N , Y , Y ,VCA-R10A, -   ,880,"1,500", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,380",ALAMEDA COUNTY WD,MI-GRD,T226,WRDA,67,N/A,67,47,4P25,Y
2000,ALAMEDA COUNTY WD,00-030,TBLA, Table A , MI , Y , Y , Y , Y , Y ,VCA-R10A, -   , -   , -   , -   , -   ,"3,750","5,750", -   , -   , -   , -   , -   ,"9,500",ALAMEDA COUNTY WD,MI-GRD,T225,WRDA,67,N/A,67,439,4P25,Y
2000,ALAMEDA COUNTY WD,00-030,TBLA, Table A , MI , Y , Y , Y , Y , Y ,VCA-R10A, -   , -   , -   , -   , -   , -   , -   , -   ,"1,500", -   , -   , -   ,"1,500",ALAMEDA COUNTY WD,MI-GRD,T226,WRDA,67,N/A,67,439,4P25,Y
2000,ANTELOPE VALLEY-EAST KERN WA,N/A,SALEPA, Sold-TBLA , MI , N , N , N , Y , Y ,VCA-R3A,430, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,430,ANTELOPE VALLEY-EAST KERN WA,WTR,L0SL,WRGN,68,N/A,68,328,3PSL,N
2000,ANTELOPE VALLEY-EAST KERN WA,N/A,SALEPB, Sold-TBLA , MI , N , N , N , Y , Y ,VCA-R3A,"46,630", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"46,630",ANTELOPE VALLEY-EAST KERN WA,WTR,L0SL,WRGN,68,N/A,68,336,3PSL,N
2000,CA DEPT OF FISH AND GAME,LATERAL 4,SWPF&W, Other SWP , AG , N , Y , N , N , N ,VCA-R5,1, -   , -   , -   ,1, -   ,1, -   ,1, -   ,1,1,6,CA DEPT OF FISH AND GAME,UK-UKN,T113,WRDA,23,N/A,23,417,3P16,N
2000,CA DEPT OF PARKS AND RECREATION,SAN LUIS,SWPP&R, Other SWP , AG , N , Y , N , N , N ,VCA-R3A,1, -   , -   ,1, -   ,1, -   ,1,2, -   , -   ,1,7,CA DEPT OF PARKS AND RECREATION,UK-UKN,T059,WRGN,45,N/A,45,409,3PSL,N
