Water_Type,WT_Group,Description,WT_Group_Model_1,Banking_partner,Purchas1_Sell0
A21EWA,Article 21,EWA TRANSACTION WITH ARTICLE 21,tableA_flood,,
A21XAE,Article 21,ART21 WATER  EXCHANGED FOR BANKED,tableA_flood,,
ART.21,Article 21,ARTICLE 21 (INTERRUPTIBLE/SURPLUS WATER),tableA_flood,,
UNSCHD,Article 21,UNSCHEDULED SURPLUS WATER,tableA_flood,,
PMPSTRXCH,Backup Water Exchanged,PUMPSTORE EXCHANGED,,,
PMPSTRXST,Backup Water Exchanged,PUMPSTORE RECOVERY EXCHANGED FOR SEMITR,,SMI,
BUY-MP,Bought,MULTI POOL DEMO PROGRAM 2013-2014,tableA_turnback,,1
BUYPA,Bought,PURCHASE OF POOL A TURN BACK,tableA_turnback,,1
BUYPB,Bought,PURCHASE OF POOL B TURN BACK,tableA_turnback,,1
01SPEC,Carryover,2001 SPECIAL CARRYOVER PROGRAM,tableA_carryover,,
02SPEC,Carryover,2002 SPECIAL CARRYOVER PROGRAM,tableA_carryover,,
ART.12E,Carryover,TABLE A CARRYOVER UNDER ART.12E,tableA_carryover,,
ART.14B,Carryover,TABLE A CARRYOVER UNDER ART.14B,tableA_carryover,,
ART.45F,Carryover,TABLE A CARRYOVER UNDER ART.45F (EMPIRE),tableA_carryover,,
ART.56C,Carryover,TABLE A CARRYOVER UNDER ART.56C,tableA_carryover,,
ART.56CEWA,Carryover,"ART.56C CARRYOVER FOR EWA AT ONEILL, R-3",tableA_carryover,,
ART.56CSPL,Carryover,ART.56C CARRYOVER SUPPLIED FOR EXCHANGE.,tableA_carryover,,
ART.56CTRN,Carryover,TRANSFER OF ART. 56C CARRYOVER,tableA_carryover,,
ART.56CXAE,Carryover,ART.56 EXCHANGED FOR ARVIN EDISON,tableA_carryover,,
ART.56CXCH,Carryover,EXCHANGE OF ART. 56C CARRYOVER,tableA_carryover,,
ART12ETOTH,Carryover,ART.12E TRANSFERED TO A NON SWPC,tableA_carryover,,
ART56CTOTH,Carryover,ART.56C TRANFERED TO A NON SWPC,tableA_carryover,,
GENCVSTR,Delivery of Backup Water,RECOVERY OF PRE1914 WATER.,Right,,
PMPRCVSTR,Delivery of Backup Water,RECOVERY OF PUM-IN WATER THAT WAS STORED,,,
PMPSTRTRAN,Delivery of Backup Water,TRANSFER OF PUMP STORE,,,
08TRANSFER,Dry Year Purch & Temp Transfer,2008 WATER TRANSFER STORE AND CONVEY,,,
10TRANSFER,Dry Year Purch & Temp Transfer,2010 WATER TRANSFER STORE AND CONVEY,,,
12TRANSFER,Dry Year Purch & Temp Transfer,2012 WATER TRANSFER STORE AND CONVEY,,,
13TRANSFER,Dry Year Purch & Temp Transfer,2013 WATER TRANSFER STORE AND CONVEY,,,
14TRANSFER,Dry Year Purch & Temp Transfer,2014 WATER TRANSFER STORE AND CONVEY,,,
15TRANSFER,Dry Year Purch & Temp Transfer,2015 WATER TRANSFER STORE AND CONVEY,,,
DRYPUR,Dry Year Purch & Temp Transfer,DRY YEAR PURCHASE,,,
DRYPURA55,Dry Year Purch & Temp Transfer,DRY YEAR PURCHASE,,,
DRYPURC1,Dry Year Purch & Temp Transfer,DRYPUR WATER UNDER COMPONENT 1,,,
DRYPURC2,Dry Year Purch & Temp Transfer,DRYPUR WATER UNDER COMPONENT 2,,,
DRYPURC3,Dry Year Purch & Temp Transfer,DRYPUR WATER UNDER COMPONENT 3,,,
"DRYPURC3,4",Dry Year Purch & Temp Transfer,DRYPUR WATER UNDER COMPONENT 3 AND 4,,,
DRYPURC4,Dry Year Purch & Temp Transfer,DRYPUR WATER UNDER COMPONENT 4,,,
CVCSPLY,N/A,CVC CONTRACTOR SUPPLY TO A GIVEN REACH.,cvc_delivery,,
JNTPNTCVC,N/A,CVC WATER CONVEYED THRU SWP FACILITIES,cvc_delivery,,
CVPSPLY,N/A,CVP WATER SUPPLIED TO A GIVEN REACH,cvc_delivery_or_cvpdelta_delivery,,
CVCREMAIN,N/A,UNDELIVERED WATER THAT WAS PUMPED BY DWR,cvc_undelivered,,
EWA002,N/A,EWA SHARE OF STATE GAIN,Environmental,,
PMPEWA,N/A,EWA ASSET GAINED BY WAY OF PUMPIN,Environmental,,
CXAERV,N/A,CREDIT FOR AERCV THAT WAS EXCHANGED,recover_banked,AEMWD,
CXKBRV,N/A,CREDIT FOR KWBRCV THAT WAS EXCHANGED,recover_banked,KWB,
CXKDRV,N/A,CREDIT FOR KDRCV THAT WAS EXCHANGED,recover_banked,KND,
