datetime,SOC_pump,CCA_pump,SOB_pump,HRO_pump,TRP_pump
10/1/1996,3097,325,184,6524,4122
10/2/1996,2548,377,176,6524,4374
10/3/1996,2357,58,191,6518,4374
10/4/1996,2347,409,208,5885,4259
10/5/1996,2217,370,199,6538,4252
10/6/1996,1523,312,175,6493,4247
10/7/1996,1320,338,208,6126,4154
10/8/1996,1397,336,208,6583,3426
10/9/1996,1249,293,191,6533,4366
10/10/1996,1932,297,167,5899,4319
10/11/1996,2103,303,179,5054,4313
10/12/1996,1996,249,176,4990,4243
10/13/1996,1973,180,178,5592,4243
10/14/1996,1356,277,171,5389,4292
10/15/1996,805,358,171,5047,4319
10/16/1996,1137,314,152,5796,4275
10/17/1996,1625,319,198,5919,4339
10/18/1996,1141,279,191,5389,4308
10/19/1996,1490,224,189,5097,4216
10/20/1996,1334,138,198,5053,4180
10/21/1996,1452,228,203,5059,4258
10/22/1996,1519,130,167,4736,4169
10/23/1996,1506,64,164,4026,4225
10/24/1996,1504,153,126,5092,4235
10/25/1996,1528,163,85,4561,4241
10/26/1996,1355,157,80,4386,4262
10/27/1996,766,130,86,4406,4405
10/28/1996,984,257,80,4416,3057
10/29/1996,1529,284,64,5012,4185
10/30/1996,1511,35,53,5213,3085
10/31/1996,1457,0,80,5796,4319
11/1/1996,1406,0,68,5773,4311
11/2/1996,922,0,68,5762,4233
11/3/1996,0,0,66,5943,4206
11/4/1996,791,57,89,5773,4195
11/5/1996,1433,36,89,5754,4183
11/6/1996,1724,85,96,5761,4196
11/7/1996,1724,85,110,5757,4181
11/8/1996,1721,85,74,5766,4199
11/9/1996,925,85,104,5767,4146
11/10/1996,1314,61,67,5171,4186
11/11/1996,767,36,62,5066,4195
11/12/1996,1319,4,99,5251,4179
11/13/1996,1715,12,114,5074,3267
11/14/1996,1581,31,144,5241,4297
11/15/1996,1739,0,119,4262,4262
11/16/1996,722,48,89,5307,4224
11/17/1996,0,0,32,5012,4155
11/18/1996,417,68,64,6500,4136
11/19/1996,1677,0,14,6207,4136
11/20/1996,1670,67,21,6198,4171
11/21/1996,1424,0,59,6395,4171
11/22/1996,1721,24,44,6400,4159
11/23/1996,714,9,50,6264,4148
11/24/1996,0,0,47,6309,4123
11/25/1996,603,0,63,6305,4139
11/26/1996,2024,0,61,6303,4305
11/27/1996,1991,0,53,6305,4081
11/28/1996,2264,0,60,6500,4076
11/29/1996,1991,0,53,6300,7080
11/30/1996,1200,43,66,6500,4060
12/1/1996,1309,0,88,6299,0
12/2/1996,491,0,51,5203,4098
12/3/1996,1034,49,84,4891,4073
12/4/1996,906,54,168,5233,4093
12/5/1996,573,78,194,5134,4101
12/6/1996,0,53,203,6276,4354
12/7/1996,55,52,206,6475,4104
12/8/1996,3,60,175,6309,4128
12/9/1996,952,37,184,6254,4134
12/10/1996,1336,0,208,5996,3912
12/11/1996,1721,32,208,2133,4139
12/12/1996,1448,0,193,5984,4195
12/13/1996,1473,0,199,6483,4136
12/14/1996,1036,0,182,5665,4100
12/15/1996,1309,0,179,6284,4101
12/16/1996,1009,0,197,11328,8191
12/17/1996,1345,0,186,2241,4071
12/18/1996,1584,0,208,915,3838
12/19/1996,1176,0,208,0,4245
12/20/1996,1337,0,208,732,4109
12/21/1996,1260,57,208,2210,3947
12/22/1996,1036,0,184,3022,4129
12/23/1996,791,83,167,1233,4115
12/24/1996,657,17,113,1860,4099
12/25/1996,1309,0,98,1104,4087
12/26/1996,711,0,165,918,4094
12/27/1996,1552,21,174,740,4112
12/28/1996,900,2,188,0,4104
12/29/1996,491,40,119,548,4051
12/30/1996,600,12,187,737,3869
12/31/1996,954,39,156,0,4113
1/1/1997,736,0,189,1123,3882
1/2/1997,976,0,103,396,3869
1/3/1997,1721,0,78,1749,3924
1/4/1997,2073,0,89,0,3908
1/5/1997,1309,0,71,6985,4109
