datetime,BND_fnf,ORO_fnf,YRS_fnf,FOL_fnf,NML_fnf,TLG_fnf,MRC_fnf,MIL_fnf,SHA_in,SHA_out,SHA_storage,SHA_evap,SHA_tocs_obs,SHA_precip,SHA_in_fix,ORO_in,ORO_out,ORO_storage,ORO_evap,ORO_tocs_obs,ORO_precip,ORO_in_fix,FOL_in,FOL_out,FOL_storage,FOL_evap,FOL_tocs_obs,FOL_precip,FOL_in_fix,DeltaOut,HRO_pump,TRP_pump,DeltaIn,SAC_in,SAC_gains,Delta_gains,FMD_storage,UNV_storage,HHL_storage,THA_out,WY,SR_WYI,SR_WYT,SR_WYT_rolling,SJR_WYT,8RI,SHA_fci,ORO_fci,FOL_fci,ORO_snowpack,SHA_snowpack,FOL_snowpack
10/1/1999,6183,1199,1676,1183,777,477,11,138,4015,4871,3325.561,121,,0,4015,1916,4438,2422.221,164,,0,1916,2236,2494,720.941,84,,0,2236,4796,6503,4169,15468,14733,2930,3665,92.345,149.155,136.278,3500,2000,8.795255891,AN,AN,AN,0.630684296,100000,0,195.377,0,0,0
10/2/1999,4164,799,820,1137,833,477,56,300,2454,5379,3319.505,128,,0,2453.766662,1173,2168,2419.924,162,,0,1171.929165,1680,2786,718.613,68,,0,1680.299998,4407,6670,4131,15208,14340,4007,4875,91.772,148.166,136.448,3500,2000,8.795255891,AN,AN,AN,0.630684296,97453.76666,0,195.78,0,0,0
10/3/1999,3551,1168,799,370,616,317.5,0,462,2022,5543,3312.238,142,,0,2021.220827,1752,2522,2418.111,83,,0,1690.945832,718,2773,714.453,42,,0,717.6666631,4157,6627,4129,14913,14472,3634,4075,91.772,147.181,136.448,3500,2000,8.795255891,AN,AN,AN,0.630684296,94602.29916,0,195.78,0,0,0
10/4/1999,5683,915,778,275,422,158,81,380.5,4385,5861,3309.099,107,,0,4385.420831,1168,3576,2413.161,87,,0,1167.374996,1098,2750,711.081,48,,0,1097.949997,4307,6627,4196,15130,14096,1909,2943,91.772,146.314,136.355,3500,2000,8.795255891,AN,AN,AN,0.630684296,94257.60503,0,195.873,0,0,0
10/5/1999,5485,201,128,530,784,258,0,299,4237,6153,3305.002,149,,0,4236.429163,512,3940,2406.291,96,,0,572.3749942,1315,2769,708.094,51,,0,1314.054164,4576,6604,4181,15361,13988,1126,2499,91.772,145.732,136.263,3500,2000,8.795255891,AN,AN,AN,0.630684296,93781.15394,0,195.965,0,0,0
10/6/1999,7686,1648,850,785,887,358,0,218,5373,4809,3305.966,78,,0.22,5373.016667,1019,5270,2397.632,52,,0,956.420826,1495,2756,705.499,48,,0,1495.687498,3812,6285,4275,14372,13864,1029,1537,91.772,144.48,136.263,4000,2000,8.795255891,AN,AN,AN,0.630684296,94465.11291,0,195.965,0.09,0.27,0.14
10/7/1999,6664,1310,5021,848,870,458,68,267,4304,4904,3304.761,36,,0.01,4332.479166,1422,5577,2389.234,78,,0,1421.008326,1306,2766,702.532,35,,0.01,1305.137497,3925,6561,4312,14798,14131,884,1551,91.658,143.07,136.171,4500,2000,8.795255891,AN,AN,AN,0.630684296,94074.33643,0,196.171,0.21,0.28,0.14
10/8/1999,5856,1272,710,512,834,314,59,635.3333333,4525,5427,3302.352,192,,0,4404.462498,1014,8352,2374.528,134,,0,1071.724988,1317,2633,699.852,35,,0.01,1316.833331,4134,6574,4251,14959,14269,-2143,-1453,91.544,142.056,136.263,4500,2000,8.795255891,AN,AN,AN,0.630684296,93775.08211,0,196.193,0.21,0.28,0.14
10/9/1999,6456,704,365,552,647,102,19,1003.666667,4933,5398,3301.148,142,,0,4932.983332,562,2296,2370.832,129,,0,561.5999969,1328,2616,697.172,63,,0,1327.833331,4199,6555,4230,14984,14388,4078,4674,90.8,140.937,136.911,4500,2000,8.795255891,AN,AN,AN,0.630684296,94019.31133,0,195.689,0.21,0.28,0.14
10/10/1999,5848,1395,817,686,585,265,98,1372,4221,5280,3298.737,156,,0,4220.454165,1189,4280,2364.139,150,,0,1055.612494,1393,2612,694.603,76,,0,1392.795831,4320,6555,4227,15102,14349,2177,2930,90.065,139.662,137.468,4500,2000,8.795255891,AN,AN,AN,0.630684296,93538.79993,0,195.132,0.21,0.28,0.14
10/11/1999,6260,1828,418,240,902,205,7,29,4976,5392,3297.291,107,,0,4769.974999,1037,5296,2355.73,111,,0,1167.462493,1647,2686,692.417,63,,0,1646.891665,4345,6550,4222,15117,14093,719,1743,89.386,138.81,138.121,4500,2000,8.795255891,AN,AN,AN,0.630684296,93631.83493,0,194.479,0.21,0.28,0.14
10/12/1999,4741,2261,685,83,664,145,9,252,3552,5597,3292.954,142,,0,3552.429163,1352,4194,2349.802,146,,0,1351.299995,1348,2474,690.041,73,,0,1349.099998,6486,3360,4229,14075,13916,1651,1810,88.823,138.431,138.683,3750,2000,8.795255891,AN,AN,AN,0.630684296,92502.67235,0,193.917,0.21,0.28,0.14
10/13/1999,4964,1665,155,469,738,287.5,68,475,3769,5535,3289.098,199,,0,3789.93333,1868,3997,2345.186,197,,0,1866.766663,1237,2649,687.095,72,,0,1235.724998,4690,6635,4231,15556,13188,1007,3375,88.037,137.46,139.246,3000,2000,8.795255891,AN,AN,AN,0.630684296,91667.47206,0,193.354,0.21,0.28,0.14
10/14/1999,4058,472,343,327,893,430,72,406.5,2540,5398,3283.079,177,,0,2540.420828,541,5859,2334.204,158,,0,480.2416573,987,2628,683.697,72,,0,986.8416638,3473,6559,4207,14239,12204,-1681,354,87.255,136.386,139.718,2500,2000,8.795255891,AN,AN,AN,0.630684296,89624.51929,0,192.882,0.21,0.28,0.14
10/15/1999,5199,371.5,350,784,861,100,0,338,3861,5275,3279.95,198,,0,3895.462497,911,2709,2330.551,102,,0,969.2791636,948,2652,680.205,56,,0,947.449997,1793,6571,4261,12625,11509,873,1989,86.587,136.404,139.718,2300,2000,8.795255891,AN,AN,AN,0.630684296,89038.75582,0,192.882,0.21,0.28,0.14
10/16/1999,5499,271,707,580,289,561,36,143,4689,5834,3277.062,248,,0,4625.966664,2782,3778,2328.079,191,,0,2722.699998,1427,2645,677.658,66,,0,1426.887498,2184,5908,4280,12372,11046,-1211,115,85.81,136.404,138.778,2300,2000,8.795255891,AN,AN,AN,0.630684296,89212.78469,0,193.822,0.21,0.28,0.14
10/17/1999,8998,1450,1064,562,559,386.5,43,349,7905,5644,3281.153,198,,0,7904.545837,3282,2225,2329.844,225,,0,3339.854168,1529,2651,675.314,59,,0,1528.233331,2717,5007,4239,11963,10597,77,1443,85.037,136.529,138.027,2300,2000,8.795255891,AN,AN,AN,0.630684296,92656.6913,0,194.573,0.21,0.28,0.14
10/18/1999,5723,1028,345,445.6666667,471,212,0,18,4332,5518,3278.506,149,,0,4332.470831,3032,3154,2328.903,115,,0,2794.579166,1048,2653,672.034,50,,0,1049.333331,4355,3177,4241,11773,10625,-700,448,84.377,136.672,137.003,2300,2000,8.795255891,AN,AN,AN,0.630684296,92356.32756,0,195.597,0.21,0.28,0.14
10/19/1999,4563,1673,474,329.3333333,383,357.5,0,272,3215,5600,3273.452,155,,0,3206.941662,2991,4507,2325.608,85,,0,2930.770831,1130,2646,668.941,44,,0,1130.612497,4572,2975,4238,11785,10689,-2064,-968,83.5,137.012,136.171,2450,2000,8.795255891,AN,AN,AN,0.630684296,90945.45285,0,196.429,0.21,0.28,0.14
10/20/1999,5199,238,812,213,708,503,31,230,3851,5573,3269.602,134,,0,3765.95833,2677,4247,2322.435,89,,0,2736.279164,1075,2575,665.866,50,,0,1074.687497,4070,3418,4243,11731,10817,-1578,-664,82.845,137.316,135.526,2450,2000,8.795255891,AN,AN,AN,0.630684296,90164.13853,0,197.074,0.21,0.28,0.14
10/21/1999,5478,1493,679.5,214,650,426,21,188,4478,5572,3267.194,120,,0,4477.966665,3020,6283,2315.862,110,,0,3079.112494,1068,2555,662.795,62,,0,1068.704164,4101,3432,4255,11788,10866,-3544,-2622,82.084,137.406,135.159,2450,2000,8.795255891,AN,AN,AN,0.630684296,90133.89827,0,197.441,0.21,0.28,0.14
10/22/1999,6202,1839,547,256,472,349,36,358,4723,4846,3266.712,120,,0,4722.991666,3666,5134,2312.581,127,,0,3606.829164,982,2556,659.537,68,,0,981.4249972,4062,3463,4294,11819,10597,-1939,-717,81.327,137.711,134.61,2450,2000,8.795255891,AN,AN,AN,0.630684296,90350.19503,0,197.99,0.21,0.28,0.14
10/23/1999,6286,786,547,382,327,298.5,85,403.5,4784,5292,3265.509,99,,0,4784.487499,3018,5525,2307.431,89,,0,3017.541662,918,2553,656.208,43,,0,917.6291638,3379,3477,4301,11157,10423,-2947,-2213,80.573,137.927,133.61,2450,2000,8.795255891,AN,AN,AN,0.630684296,90617.17277,0,198.99,0.21,0.28,0.14
10/24/1999,5971,937,252,508,560,248,55,449,4492,5334,3263.824,7,,0,4491.479165,2673,1464,2309.771,89,,0,2732.750002,1377,2604,653.713,31,,0,1377.104165,3764,3524,4286,11574,10881,1479,2172,79.822,138.395,132.976,2450,2000,8.795255891,AN,AN,AN,0.630684296,90577.7933,0,199.624,0.21,0.28,0.14
10/25/1999,5742,570,392,184,288,270,0,452,4985,6387,3260.946,49,,0,4985.008331,2521,4635,2305.327,68,,0,2462.48333,1059,2647,650.479,43,,0,1059.524997,4134,3402,4276,11812,10831,-2838,-1857,79.076,138.792,132.256,2450,2000,8.795255891,AN,AN,AN,0.630684296,91033.91197,0,200,0.21,0.28,0.14
10/26/1999,5898,1200,514,199,456,193.5,0,360.5,4542,4820,3260.229,99,,0,4557.512499,2866,5006,2300,97,,0,2417.304162,990,2660,647.082,43,,0,990.3458304,4037,3444,4288,11769,10923,-1563,-717,78.331,139.118,131.897,2450,2000,8.795255891,AN,AN,AN,0.630684296,91039.72887,0,200,0.21,0.35,0.14
10/27/1999,7382,5225,1053,575,208,117,54,269,5319,5234,3260.229,85,,0,5319,4515,7110,2295.99,50,,0,5138.291663,1110,2546,644.147,43,,0,1109.270831,4127,3418,4285,11830,11117,-3773,-3060,77.696,139.844,131.45,2450,2000,8.795255891,AN,AN,AN,0.630684296,91806.74242,0,200,3.93,1.3,2.5
