datetime,ORO_cdf_snow,SHA_cdf_snow,FOL_cdf_snow,YRS_cdf_snow,MHB_cdf_snow,PAR_cdf_snow,NHG_cdf_snow,NML_cdf_snow,DNP_cdf_snow,EXC_cdf_snow,MIL_cdf_snow,PFT_cdf_snow,KWH_cdf_snow,SUC_cdf_snow,ISB_cdf_snow,ORO_cdf_inf,SHA_cdf_inf,FOL_cdf_inf,YRS_cdf_inf,MHB_cdf_inf,PAR_cdf_inf,NHG_cdf_inf,NML_cdf_inf,DNP_cdf_inf,EXC_cdf_inf,MIL_cdf_inf,PFT_cdf_inf,KWH_cdf_inf,SUC_cdf_inf,ISB_cdf_inf,
1/10/1996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2150.2,16008,625.69,621.98,0,318.86,66.82,486.59,230.7,67.36,2817.6,602.57,150.57,26.015,555.94
2/10/1996,1,0,0,0,0,0.12,0.12,0.12,0.36,1.78,3.92,0,3.08,0,0,0.06,2917.8,11496,560.76,570.47,0,99.743,66.82,432.46,119.1,47.427,1607.3,715.19,141.03,24.112,562.73
3/10/1996,1,0,0,0,0,0.24,0.24,0.24,0.36,1.78,3.92,0,3.08,0,0,0.18,3768.9,3981.2,495.83,549.48,0,85.606,66.82,462.34,181.93,37.117,973.31,699.79,127.41,23.477,342.9
4/10/1996,1,0,0,0,0,0.24,0.24,0.24,0.75,1.78,3.92,0,3.08,0,0,0.18,2833.1,3512.8,553.87,576.19,0,176.71,0,393.55,25.321,54.988,720.04,619.9,122.64,165.61,689.19
5/10/1996,1,0,0,0,0,0.44,0.44,0.44,1.42,1.78,3.92,0,3.08,0,0,0.18,2852.4,10363,699.47,591.45,0,164.93,27.842,393.55,138.79,68.735,1059.4,498.61,119.91,153.55,520.29
6/10/1996,1,0,0,0,0,0.44,0.44,0.44,1.54,1.78,3.92,0,3.08,0,0,0.84,3229,11156,881.47,618.16,0,168.86,30.626,348.45,330.11,54.3,422.93,455.3,124,89.467,520.29
7/10/1996,1,0,0,0,0,0.56,0.56,0.56,1.54,1.78,3.92,0,3.08,0,0,0.84,3411.8,13449,493.86,634.38,0,146.87,25.058,305.03,0,49.489,340.94,609.31,118.55,72.97,487.19
8/10/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,3.08,0,0,0.84,3051,14736,465.33,632.47,0,173.57,30.626,178.73,3.7512,38.491,280.06,540.97,109.01,65.355,494.83
9/10/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,3.08,0,0,8.04,2162.3,15051,439.75,637.24,0,138.23,167.05,180.43,653.65,0,557.68,620.86,110.37,57.741,501.62
10/10/1996,1,0,0,0,0,0.68,0.68,0.68,1.54,1.9,3.92,0,3.08,0,0,8.04,3322.2,1667.8,430.9,643.92,0,173.57,334.1,164.07,270.09,31.618,377.47,620.86,108.33,51.396,465.12
