,,,,,,,,,,,,Table 22,,
,,,U. S. Department of Interior - Bureau of Reclamation,,,,,,,,,,,
,,,,Central Valley Operations Office,,,,,,,,,,
,,,,,Friant-Kern Canal,,,,,,,,,
,,,,,2016,,,,,,,,,
Monthly Deliveries in AF,,,,,,,,,,,,,,
Water User,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Alpaugh ID,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Arvin-Edison WSD,FRIANT-KERN CANAL,111,30,9787,32574,14467,4290,4305,4303,5850,5354,2525,0,83596
Atwell Island WD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Bakersfield,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Corcoran ID,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Delano-Earlimart ID - In,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Delano-Earlimart ID - Out,FRIANT-KERN CANAL,12,5,7358,16695,12760,"13,761","16,807","16,537",11754,9544,4178,0,109411
Exeter ID,FRIANT-KERN CANAL,42,217,35,738,772,938,979,1500,1765,1515,224,0,8725
Frasinetto Farms,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
City of Fresno,FRIANT-KERN CANAL,0,0,5720,8581,31,13118,17669,2339,108,112,0,0,47678
County of Fresno SA #34,FRIANT-KERN CANAL,6,10,14,42,67,86,102,73,63,39,0,0,502
Fresno ID,FRIANT-KERN CANAL,0,0,3,7045,0,0,0,0,0,0,0,0,7048
Garfield WD,FRIANT-KERN CANAL,0,0,0,42,171,265,317,304,212,138,0,0,1449
Hills Valley ID,FRIANT-KERN CANAL,12,0,35,222,520,891,916,907,588,373,78,0,4542
International WD,FRIANT-KERN CANAL,0,0,0,33,110,185,211,209,167,47,0,0,962
Ivanhoe ID,FRIANT-KERN CANAL,0,0,89,1029,282,339,557,1278,12981,1220,0,0,17775
Kaweah Delta WCD,FRIANT-KERN CANAL,0,0,0,3068,0,0,0,0,0,0,0,0,3068
Kern County Water Agency,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Delta,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Tulare WD - In,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Tulare WD - Out,FRIANT-KERN CANAL,37,1005,814,1932,"3,506","4,986","5,928","5,237",3455,2108,789,0,29797
Kings County WD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings River CD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakeside IWD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis Creek WD,FRIANT-KERN CANAL,0,0,0,17,145,166,145,0,24,28,7,0,532
Lindmore ID,FRIANT-KERN CANAL,0,0,9,1515,2433,3778,4655,5111,4544,3461,802,0,26308
City of Lindsay,FRIANT-KERN CANAL,0,0,0,144,153,160,180,183,166,126,108,112,1332
Lindsay-Strathmore ID - In,FRIANT-KERN CANAL,0,0,"1,150",0,"1,188",528,"1,416",908,0,0,0,0,5190
Lindsay-Strathmore ID - Out,FRIANT-KERN CANAL,111,105,106,1278,2296,"3,253","3,554","3,613",3101,2346,179,151,20093
Lower Tule River ID,FRIANT-KERN CANAL,0,0,13277,15514,0,0,28167,16424,2,5,0,0,73389
North-Kern WSD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange Cove ID,FRIANT-KERN CANAL,32,92,224,971,1796,"3,599","4,308","5,199",4674,3121,136,0,24152
City of Orange Cove,FRIANT-KERN CANAL,74,80,86,100,144,170,181,163,146,116,65,83,1408
Pixley ID,FRIANT-KERN CANAL,0,0,0,0,0,0,3442,0,0,0,0,0,3442
Porterville ID,FRIANT-KERN CANAL,0,0,428,2606,1236,3162,2830,2231,771,126,0,0,13390
Rosedale Rio Bravo WSD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Saucelito ID,FRIANT-KERN CANAL,0,0,1179,2858,2091,2499,3019,4086,3996,2412,158,0,22298
Semitropic WSD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Shafter Wasco ID,FRIANT-KERN CANAL,0,0,2596,6111,5000,6619,7939,4506,3811,3544,1808,0,41934
Southern San Joaquin MUD,FRIANT-KERN CANAL,0,17,3242,6814,5934,10779,13886,11851,10003,8281,2399,0,73206
Stone Corral ID,FRIANT-KERN CANAL,0,0,153,518,621,1024,1191,1494,1228,824,112,0,7165
Strathmore PUD,FRIANT-KERN CANAL,17,15,16,20,24,27,26,31,31,27,18,17,269
Tea Pot Dome WD,FRIANT-KERN CANAL,9,0,0,260,331,973,1002,1072,906,639,112,0,5304
Terra Bella ID,FRIANT-KERN CANAL,81,74,208,1048,"1,826","2,525","2,602","2,740",2290,1349,443,0,15186
Tri-Valley WD,FRIANT-KERN CANAL,7,0,0,1,54,137,172,266,168,140,0,0,945
Tulare ID,FRIANT-KERN CANAL,0,0,1796,22764,0,4330,7482,0,0,0,0,0,36372
Tulare Lake Basin WSD,FRIANT-KERN CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,FRIANT-KERN CANAL,551,1650,48325,134540,57958,82588,133988,92565,72804,46995,14141,363,686468
Notes:,,Data provided by South-Central California Area Office-Fresno,,,,,,,,,,,,
,,Delivery data is based on District turn-out readings and may include water in addition to water service contract deliveries.,,,,,,,,,,,,
,,"The word ""In"" beside the contractor's name represents non-project water pumped into the Friant Kern Canal under a Warren Act Action.",,,,,,,,,,,,
,,Rag Gulch is a part of Kern Tulare.,,,,,,,,,,,,
