,,,,`,,,,,,,,,,Table 26
,,,,U.S. D,epartmen,t of I,nterior,#NAME?,au of R,eclamat,ion,,,
,,,,,Central,Valle,y Opera,tions O,ffice,,,,,
,,,,,,San,Luis an,d Cross,Valley,Canals,,,,
,,,,,,,,,,,,,,
Monthly Deliveries in AF,,,,,,1998,,,,,,,,
Water User,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
City of Avenal,SAN LUIS CANAL,167,158,163,164,181,208,249,284,188,245,166,177,2350
Broadview WD,SAN LUIS CANAL,2,1,0,0,0,3,3,3,2,1,1,0,16
City of Coalinga,SAN LUIS CANAL,231,187,178,241,266,379,581,456,551,403,216,306,3995
City of Dos Palos,SAN LUIS CANAL,61,56,71,77,85,120,173,171,122,121,75,81,1213
City of Huron,SAN LUIS CANAL,46,39,54,71,63,81,149,134,97,111,73,65,983
Pacheco WD,SAN LUIS CANAL,57,1,1,1,1,383,2081,1835,219,109,146,406,5240
Panoche WD,SAN LUIS CANAL,1757,804,1556,911,1531,5839,14454,11414,2275,643,674,1456,43314
San Luis WD,SAN LUIS CANAL,1433,676,1568,2205,3068,5982,12975,12431,3610,2525,785,1854,49112
Westlands WD (Federal),SAN LUIS CANAL,64421,32470,56103,54470,63036,124344,240385,190998,59346,50371,31416,67645,1035005
Phase I  - Chargeable,SAN LUIS CANAL,29,7,1,44,8,0,0,0,0,22,39,18,168
Phase I - Non-chargeable,SAN LUIS CANAL,8,0,0,5,8,4,0,0,25,12,9,0,71
State of Calif - Lat 4,SAN LUIS CANAL,0,0,0,0,0,0,0,5,1,1,1,0,8
Oneill Forebay Wildlife,O'NEILL FOREBAY DELIVERIES,23,0,0,3,0,0,0,6,0,158,269,144,603
San Luis WD - Ag,O'NEILL FOREBAY DELIVERIES,380,48,193,167,508,1337,3789,3703,1252,624,37,73,12111
San Luis WD - M&I,O'NEILL FOREBAY DELIVERIES,30,19,26,31,40,52,54,57,42,49,34,27,461
VA Cemetary,O'NEILL FOREBAY DELIVERIES,1,1,1,2,3,4,5,5,4,3,3,2,34
Arvin Edison WSD,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Tulare,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Pixley ID,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Rag Gulch,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clara,SAN FELIPE DIVISION,7716,6464,7856,8052,5374,1947,8141,8159,7191,7204,5310,5265,78679
San Benito,SAN FELIPE DIVISION,77,6,0,0,592,2572,2973,3514,3778,940,103,835,15390
