,,,,,,,,,,,,,Table 26,,
,,,,U. S. Department of Interior - Bureau of Reclamation,,,,,,,,,,,
,,,,,Central Valley Operations Office,,,,,,,,,,
Preliminary Data Subject to Change,,,,San Luis and Cross Valley Canals,,,,,,,,,,,
,,,,,,2015,,,,,,,,,
Monthly Deliveries in AF,,,,,,,,,,,,,,,
Water User,Notes,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
City of Avenal,,SAN LUIS CANAL,125,118,149,150,163,183,185,194,191,182,149,142,"1,931"
City of Coalinga,,SAN LUIS CANAL,225,253,203,350,303,375,492,458,467,483,233,332,"4,174"
City of Dos Palos,,SAN LUIS CANAL,72,66,81,74,85,79,92,91,81,83,82,86,972
City of Huron,,SAN LUIS CANAL,49,45,64,58,68,77,71,91,81,70,52,46,772
Pacheco WD,,SAN LUIS CANAL,118,0,11,38,7,0,0,0,0,0,35,70,279
Pacheco CCID Non-project (Hamburg),,SAN LUIS CANAL,0,536,102,233,285,330,197,94,146,76,0,0,"1,999"
Panoche WD,,SAN LUIS CANAL,210,878,972,"1,391","1,777","2,597","2,678","1,463",988,973,77,28,"14,032"
San Luis WD,,SAN LUIS CANAL,"1,790","2,988","4,526","5,830","8,195","9,036","8,853","4,440","5,217","5,201",674,6,"56,756"
Westlands WD,,SAN LUIS CANAL,"2,752","6,067","11,109","17,216","24,048","34,797","31,443","17,833","14,038","9,390","3,867","2,416","174,976"
Mendota WMA (CDFG) (via WWD Lateral 4),,SAN LUIS CANAL,0,1,0,1,0,0,1,0,0,0,0,0,3
Mendota WMA (CDFG) (via WWD Lateral 6),,SAN LUIS CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern National Wildlife Refuge,(USFWS),SAN LUIS CANAL,"1,341",888,0,0,0,0,0,0,0,"2,640","3,532","2,054","10,455"
Total,,SAN LUIS CANAL,"6,682","11,840","17,217","25,341","34,931","47,474","44,012","24,664","21,209","19,098","8,701","5,180","266,349"
O'Neill Forebay Wildlife,,O'NEILL FOREBAY DELIVERIES,93,57,38,89,35,71,120,61,75,66,32,136,873
San Luis WD Ag,,O'NEILL FOREBAY DELIVERIES,23,51,91,214,438,394,254,101,152,115,9,15,"1,857"
San Luis M&I,,O'NEILL FOREBAY DELIVERIES,16,20,30,33,34,38,43,50,37,30,25,18,374
VA Cemetery,,O'NEILL FOREBAY DELIVERIES,5,1,6,19,30,39,40,30,20,14,2,4,210
Total,,O'NEILL FOREBAY DELIVERIES,137,129,165,355,537,542,457,242,284,225,68,173,"3,314"
County of Fresno,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
County of Tulare,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Tule River ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Pixley ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Tulare WD,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Hills-Valley ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tri-Valley ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Clara (including Casa De Fruta),,SAN FELIPE DIVISION,"1,337","2,718","3,288","7,006","7,613","7,744","6,400",253,"5,249","2,345","2,183","3,452","49,588"
San Benito,,SAN FELIPE DIVISION,577,244,216,225,418,554,639,26,279,238,155,172,"3,743"
Total,,SAN FELIPE DIVISION,"1,914","2,962","3,504","7,231","8,031","8,298","7,039",279,"5,528","2,583","2,338","3,624","53,331"
*,Delivery data is based on District turn-out readings and may include water in addition to water service contract deliveries.,,,,,,,,,,,,,,
Note 1:,"Cross Valley Canal section represents delivereis on behalf of the contractors listed, not necessarily what flows went into the Cross Valley Canal.",,,,,,,,,,,,,,
