,,,,,,,,,,,,,Table 26,,
,,,,U. S. Department of Interior - Bureau of Reclamation,,,,,,,,,,,
,,,,,Central Valley Operations Office,,,,,,,,,,
Preliminary Data Subject to Change,,,,San Luis and Cross Valley Canals,,,,,,,,,,,
,,,,,,2016,,,,,,,,,
Monthly Deliveries in AF,,,,,,,,,,,,,,,
Water User,Notes,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
City of Avenal,,SAN LUIS CANAL,129,114,130,151,169,192,221,224,175,177,153,144,"1,979"
City of Coalinga,,SAN LUIS CANAL,237,222,316,283,321,456,414,485,388,357,329,172,"3,980"
City of Dos Palos,,SAN LUIS CANAL,80,71,74,74,138,182,75,178,107,109,59,81,"1,228"
City of Huron,,SAN LUIS CANAL,46,42,50,58,69,81,86,84,77,68,54,51,766
Pacheco WD,,SAN LUIS CANAL,0,0,0,0,0,0,219,39,40,301,165,0,764
Pacheco CCID Non-project (Hamburg),,SAN LUIS CANAL,0,136,161,456,724,702,0,0,0,0,45,0,"2,224"
Panoche WD,,SAN LUIS CANAL,23,662,859,"1,445","2,613","4,289","3,548","2,800","1,814","1,308",387,61,"19,809"
San Luis WD,,SAN LUIS CANAL,149,"1,973","3,375","5,109","7,627","10,751","10,860","6,099","4,849","4,446","1,971",9,"57,218"
Westlands WD,,SAN LUIS CANAL,"2,262","3,868","8,320","19,356","31,794","53,478","51,258","29,110","21,265","14,981","4,155","3,050","242,897"
Mendota WMA (CDFG) (via WWD Lateral 4),,SAN LUIS CANAL,0,0,0,0,0,0,0,1,0,0,0,0,1
Mendota WMA (CDFG) (via WWD Lateral 6),,SAN LUIS CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern National Wildlife Refuge,(USFWS),SAN LUIS CANAL,"2,493","1,850",0,385,490,0,0,"1,570","4,232","3,813","4,820","2,440","22,093"
Total,,SAN LUIS CANAL,"5,419","8,938","13,285","27,317","43,945","70,131","66,681","40,590","32,947","25,560","12,138","6,008","352,959"
O'Neill Forebay Wildlife,,O'NEILL FOREBAY DELIVERIES,0,15,0,31,2,69,90,113,95,63,53,87,618
San Luis WD Ag,,O'NEILL FOREBAY DELIVERIES,6,17,57,168,344,979,543,198,555,316,190,18,"3,391"
San Luis M&I,,O'NEILL FOREBAY DELIVERIES,6,39,18,21,31,51,52,51,42,33,21,19,384
VA Cemetery,,O'NEILL FOREBAY DELIVERIES,2,16,10,35,49,63,78,64,48,22,5,2,394
Total,,O'NEILL FOREBAY DELIVERIES,14,87,85,255,426,"1,162",763,426,740,434,269,126,"4,787"
County of Fresno,(See Note 2 below),CROSS VALLEY CANAL,90,30,0,0,0,0,0,0,0,150,0,0,270
County of Tulare,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Lower Tule River ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Pixley ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern-Tulare WD,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,"2,665",0,0,"2,665"
Hills-Valley ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Tri-Valley ID,,CROSS VALLEY CANAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,,CROSS VALLEY CANAL,90,30,0,0,0,0,0,0,0,"2,815",0,0,"2,935"
Santa Clara (including Casa De Fruta),,SAN FELIPE DIVISION,"2,637","2,153","1,399","2,191","10,239","18,558","4,913","8,984","14,036","17,525","13,594","8,373","104,602"
San Benito,,SAN FELIPE DIVISION,172,77,40,252,450,"1,030","3,677","3,094",788,312,167,4,"10,063"
Total,,SAN FELIPE DIVISION,"2,809","2,230","1,439","2,443","10,689","19,588","8,590","12,078","14,824","17,837","13,761","8,377","114,665"
*,Delivery data is based on District turn-out readings and may include water in addition to water service contract deliveries.,,,,,,,,,,,,,,
Note 1:,"Cross Valley Canal section represents delivereis on behalf of the contractors listed, not necessarily what flows went into the Cross Valley Canal.",,,,,,,,,,,,,,
Note 2:,Allocation of 120 AF for Health & Safety to County of Fresno.,,,,Deliveries for January and February 2016 provided out of Millerton Lake.,,,,,,,,,,
