Year,Ag,Mixed Purpose
1990,0 ,0 
1991,0 ,0 
1992,0 ,0 
1993,0 ,0 
1994,0 ,0 
1995,176768 ,40315 
1996,260616 ,91722 
1997,362145 ,98849 
1998,609044 ,140194 
1999,642274 ,140508 
2000,678396 ,142289 
2001,609597 ,135033 
2002,600345 ,130338 
2003,591929 ,130789 
2004,562653 ,131337 
2005,859848 ,169541 
2006,1082249 ,198522 
2007,879328 ,192599 
2008,663609 ,181006 
2009,517314 ,171274 
2010,497205 ,169046 
2011,854131 ,219333 
2012,747094 ,219333 
2013,572608 ,210444 
2014,412083 ,190293 
2015,277668 ,175690 
2016,254596 ,173283 
2017,773030 ,246397 
