,alfalfa,almond,apple,cotton,deciduous_misc,field_misc,grain,grape,melon,pasture,peach,pistachio,subtropical_misc,tomato,vegetable_small
0,1.4,0.336,0.09,10.657677918932876,0.0,3.1092456575682386,2.3045952441056192,0.0,0.0,0.0,0.13,4.760571040462428,0.44557999999999987,0.5460468136514648,0.37109332527937183
1,1.54,1.6042402402402405,0.09,7.036674541585433,0.0,1.585,2.7404199659348176,0.09,0.0,0.0,0.13,5.071765252239509,0.9030499999999999,0.0,0.03
2,1.54,3.434,0.09,6.367810823406824,0.0,1.405518987341772,2.1293642935072166,0.09,0.0,0.0,0.13,4.980305895744187,1.76529,0.0,0.16
3,2.15,3.454412480226913,0.135,6.602128756886489,0.0,0.0,0.772,0.33499999999999996,0.0,0.0,0.21,4.468419999999999,2.27025,0.1319587628865979,0.0
4,1.12,3.612,0.235,3.733,0.135,0.0,1.6151,0.531,0.0,0.0,0.545,5.08739,2.34777,0.0,0.0
5,1.28,3.724,0.241,0.95,0.135,0.0,0.545,1.112,0.0,0.64,0.475,5.0823100000000005,2.2955199999999993,0.0,0.0
6,0.0,3.8273076923076927,0.235,0.6761,0.20223076923076924,0.0,3.169,1.6880000000000002,0.25,0.0,0.5734615384615385,5.0823100000000005,2.29552,0.0,0.03
7,0.0,3.8514402224281743,0.425,0.2265060240963856,0.26372307692307684,0.0,0.0,1.5063614457831325,0.0,0.0,0.6485692307692308,5.10451,2.2990400000000006,0.0,0.0
8,0.235,4.609716417910448,0.398,0.0,0.25019402985074624,0.4112350597609562,0.3587649402390438,1.43,0.0,0.0,0.48208955223880595,5.107509999999999,2.33975,0.0,0.0
9,1.0662290502793297,4.772716417910448,0.4113,0.5044854748603351,0.31139402985074627,0.0,2.5219854748603354,1.43,0.0,0.0,0.7480895522388058,5.10751,2.3355900000000003,0.0,0.0
10,1.148,5.1208064179104475,0.4121,0.364,0.4433940298507464,0.1776,1.5164000000000002,1.425,0.0,0.0,0.6150895522388058,5.714090000000001,2.02794,0.0,0.0
11,0.861,4.83409,0.3291,0.0,0.46719999999999995,0.511,0.5416,1.214,0.0,0.0,0.389,5.75209,2.16794,0.0,0.0
12,0.186,5.40709,0.375,0.0,0.48150000000000004,0.0,0.364,1.346,0.0,0.0,0.235,6.2270900000000005,2.16794,0.0,0.0
13,0.0,5.24009,0.19519999999999998,0.0,0.3615,0.0,0.743,1.346,0.0,0.0,0.11359999999999999,5.606090000000001,2.4772399999999997,0.0,0.0
14,0.0,5.1939076555716355,0.1978,0.43418234442836473,0.334,0.0,0.0,1.243,0.0,0.0,0.074,5.722090000000001,2.5939600000000005,0.0,0.0
15,0.0,5.568750964230171,0.26780000000000004,0.06,0.331,0.0,0.3543390357698288,1.217,0.0,0.0,0.053,5.722090000000001,2.17294,0.0,0.0
16,0.0,6.106660964230171,0.26780000000000004,0.0,0.306,0.3543390357698288,0.0,1.217,0.0,0.044,0.033,5.958,2.248,0.0,0.0
17,0.0,5.989,0.095,0.0,0.17,0.0,0.0,1.217,0.0,0.0,0.0,6.293,2.172,0.0,0.0
18,0.0,6.11,0.08,0.0,0.12,0.0,0.0,1.217,0.0,0.031,0.0,6.841,2.172,0.0,0.0
19,0.0,6.428,0.065,0.0,0.0,0.0,0.0,1.262,0.0,0.0,0.0,7.097,2.033,0.0,0.0
