,alfalfa,almond,apple,avocado,citrus,corn,cotton,cucumber,deciduous_misc,field_misc,grain,grape,melon,onion,pasture,peach,pepper,pistachio,squash,subtropical_misc,tomato,vegetable_small,walnut
0,0.0,0.206,0.28,0.009846153846153848,18.731714250086437,0.0,0.33582595870206483,0.0,2.515807914804086,0.018,0.105,2.8106697035087382,0.0,0.0,0.41670466321243527,0.33217010785824347,0.0,0.06902927580893684,0.0,1.0714319721729049,0.0,0.002,0.0
1,0.061,0.388,0.266,0.028,19.124688252851506,0.0,0.291,0.0,2.4775879035639417,0.06,0.083,2.519653107344633,0.0,0.0,0.281,0.3275577358490566,0.0,0.088,0.088,1.167223000390861,0.0,0.060000000000000005,0.0
2,0.076,0.3692,0.198,0.008,18.743378353721084,0.0,0.3775,0.0,2.2047639677891655,0.042,0.147,2.271086937185919,0.0,0.005,0.681514806378132,0.28853057101024887,0.0,0.08359297218155197,0.073,1.0600223917338987,0.0756,0.003,0.0
3,0.111,0.403,0.274,0.067,18.687607490131754,0.0,0.276,0.0,2.438882670157068,0.002,0.194,2.290380719651859,0.0,0.0,0.9783089005235601,0.28575,0.001,0.088,0.0,1.1504102195357615,0.0,0.001,0.0
4,0.071,0.376,0.23900000000000002,0.0,18.344256177156172,0.0,0.2675,0.038,2.01653,0.0,0.13799999999999998,1.8333818181818184,0.0,0.0,1.2673892773892776,0.2,0.0,0.088,0.0,1.151272727272727,0.0,0.0,0.0
5,0.127,0.307,0.225,0.031,19.162651771716806,0.0,0.233,0.135,2.2304,0.0,0.04,2.0419198790627364,0.0,0.0,0.15,0.29192,0.0,0.088,0.059,1.0216983492204554,0.0,0.005,0.0
6,0.1455,0.168,0.122,0.008,19.410845177626605,0.0,0.19,0.135,2.12878,0.001,0.062,1.4223198790627363,0.0,0.0,0.545,0.23432,0.0,0.088,0.14,0.8450249433106578,0.0,0.002,0.0
7,0.0,0.395,0.136,0.008,19.906850000000002,0.0,0.208,0.105,1.89311,0.001,0.082,1.4717,0.0,0.0,0.098,0.1527,0.0,0.088,0.08,0.8724000000000001,0.0,0.056,0.0
8,0.1075,0.403,0.183,0.008,19.907410000000006,0.007,0.1,0.108,1.85224,0.0,0.051,1.6552,0.0,0.0,0.15,0.1676,0.0,0.088,0.048,0.8628,0.0,0.053,0.0
9,0.139,0.426,0.136,0.0,20.40344,0.008,0.039299999999999995,0.108,1.7795999999999994,0.001,0.19,1.2906,0.0,0.0,0.252,0.159,0.0,0.088,0.061,0.6571500000000001,0.0,0.021,0.0
10,0.084,0.396,0.1051,0.0,20.05044,0.0,0.0,0.083,1.6389300000000002,0.016,0.08,1.1935,0.0,0.0,0.25,0.1369,0.0,0.088,0.0,0.69465,0.0,0.079,0.0
11,0.033,0.412,0.0881,0.0,20.580509999999997,0.0,0.0,0.09,1.69637,0.078,0.108,1.2712999999999999,0.0,0.0,0.518,0.15689999999999996,0.0,0.088,0.0,0.6514,0.02,0.043,0.0025
12,0.033,0.412,0.072,0.0,19.795328468106476,0.04,0.0,0.08,1.5626799999999998,0.168,0.10500000000000001,0.9645000000000001,0.0,0.0,0.47645153189352085,0.0958,0.0,0.088,0.043,0.6238,0.0,0.0,0.0025
13,0.0,0.316,0.079,0.0,19.204732636165577,0.03,0.0,0.1245,1.4070999999999998,0.0,0.10200000000000001,1.0714,0.0025,0.0,0.6161873638344227,0.085,0.00025,0.07,0.043,0.6224999999999999,0.0,0.043,0.0
14,0.0,0.5480920824574804,0.118,0.0,23.005771986744936,0.005,0.0,0.103,1.408001891578048,0.0,0.14779585524280853,1.3339318023195266,0.0,0.0,0.03,0.09772644376899695,0.0,0.106,0.063,0.6249099378881988,0.025,0.001,0.0
15,0.0,0.3645619968798752,0.108,0.0,21.02250721111635,0.04,0.0,0.08,1.2056588143525744,0.04,0.177,1.1401063962558506,0.0,0.0,0.0,0.079,0.0,0.07,0.075,0.6358255813953488,0.008,0.03,0.0
16,0.0,0.36163999999999996,0.084,0.0,20.51178,0.04,0.0,0.0,1.1787,0.085,0.16599999999999998,1.1314,0.0,0.0,0.0,0.069,0.0,0.088,0.06,0.6217,0.0,0.0,0.0
17,0.0,0.34864,0.10306157016683022,0.04,21.352625309126598,0.0,0.0,0.04,1.1643685083415114,0.044,0.151,0.9773999999999999,0.0,0.0,0.065,0.05270461236506379,0.0,0.088,0.096,0.35109999999999997,0.0,0.02,0.0
18,0.0,0.30363999999999997,0.1012996788595598,0.0,23.140011807785694,0.0,0.0,0.0,1.2194753411138093,0.022,0.151,0.8423999999999999,0.0,0.0,0.0,0.04850317224093366,0.0,0.128,0.04,0.4295000000000001,0.008,0.02,0.0
19,0.0,0.36263999999999996,0.104,0.0,23.13687,0.0,0.0,0.0,1.094,0.0,0.118,0.6686,0.0,0.0,0.0,0.05055,0.0,0.201,0.0,0.5268,0.0,0.016,0.0
