Parameter,Region,Crop,Input,Level
Beta,D02,ALFAL,LAND,0
Beta,D02,ALFAL,WATER,1
Beta,D02,ALFAL,LABOR,0
Beta,D02,ALFAL,SUPPL,0
Beta,D02,ALPIS,LAND,0.01
Beta,D02,ALPIS,WATER,0.99
Beta,D02,ALPIS,LABOR,0
Beta,D02,ALPIS,SUPPL,0
Beta,D02,CORN,LAND,0.07
Beta,D02,CORN,WATER,0.93
Beta,D02,CORN,LABOR,0
Beta,D02,CORN,SUPPL,0
Beta,D02,COTTN,LAND,0.01
Beta,D02,COTTN,WATER,0.99
Beta,D02,COTTN,LABOR,0
Beta,D02,COTTN,SUPPL,0
Beta,D02,CUCUR,LAND,0
Beta,D02,CUCUR,WATER,0
Beta,D02,CUCUR,LABOR,0.99
Beta,D02,CUCUR,SUPPL,0.01
Beta,D02,DRYBN,LAND,0.12
Beta,D02,DRYBN,WATER,0.88
Beta,D02,DRYBN,LABOR,0
Beta,D02,DRYBN,SUPPL,0
Beta,D02,FRTOM,LAND,0.12
Beta,D02,FRTOM,WATER,0.21
Beta,D02,FRTOM,LABOR,0
Beta,D02,FRTOM,SUPPL,0.67
Beta,D02,GRAIN,LAND,0.42
Beta,D02,GRAIN,WATER,0.58
Beta,D02,GRAIN,LABOR,0
Beta,D02,GRAIN,SUPPL,0
Beta,D02,ONGAR,LAND,0.06
Beta,D02,ONGAR,WATER,0.94
Beta,D02,ONGAR,LABOR,0
Beta,D02,ONGAR,SUPPL,0
Beta,D02,OTHDEC,LAND,0.02
Beta,D02,OTHDEC,WATER,0.98
Beta,D02,OTHDEC,LABOR,0
Beta,D02,OTHDEC,SUPPL,0
Beta,D02,OTHFLD,LAND,0.01
Beta,D02,OTHFLD,WATER,0.99
Beta,D02,OTHFLD,LABOR,0
Beta,D02,OTHFLD,SUPPL,0
Beta,D02,OTHTRK,LAND,0.43
Beta,D02,OTHTRK,WATER,0.57
Beta,D02,OTHTRK,LABOR,0
Beta,D02,OTHTRK,SUPPL,0
Beta,D02,PASTR,LAND,0
Beta,D02,PASTR,WATER,1
Beta,D02,PASTR,LABOR,0
Beta,D02,PASTR,SUPPL,0
Beta,D02,POTATO,LAND,0.59
Beta,D02,POTATO,WATER,0.41
Beta,D02,POTATO,LABOR,0
Beta,D02,POTATO,SUPPL,0
Beta,D02,PRTOM,LAND,0.21
Beta,D02,PRTOM,WATER,0.79
Beta,D02,PRTOM,LABOR,0
Beta,D02,PRTOM,SUPPL,0
Beta,D02,RICE,LAND,0
Beta,D02,RICE,WATER,0
Beta,D02,RICE,LABOR,0
Beta,D02,RICE,SUPPL,0
Beta,D02,SAFLR,LAND,0.03
Beta,D02,SAFLR,WATER,0.97
Beta,D02,SAFLR,LABOR,0
Beta,D02,SAFLR,SUPPL,0
Beta,D02,SBEET,LAND,0
Beta,D02,SBEET,WATER,0
Beta,D02,SBEET,LABOR,0
Beta,D02,SBEET,SUPPL,0
Beta,D02,SUBTRP,LAND,0
Beta,D02,SUBTRP,WATER,0
Beta,D02,SUBTRP,LABOR,0
Beta,D02,SUBTRP,SUPPL,0
Beta,D02,VINE,LAND,0.02
Beta,D02,VINE,WATER,0.98
Beta,D02,VINE,LABOR,0
Beta,D02,VINE,SUPPL,0
Beta,D03,ALFAL,LAND,0
Beta,D03,ALFAL,WATER,1
Beta,D03,ALFAL,LABOR,0
Beta,D03,ALFAL,SUPPL,0
Beta,D03,ALPIS,LAND,0.01
Beta,D03,ALPIS,WATER,0.99
Beta,D03,ALPIS,LABOR,0
Beta,D03,ALPIS,SUPPL,0
Beta,D03,CORN,LAND,0.04
Beta,D03,CORN,WATER,0.96
Beta,D03,CORN,LABOR,0
Beta,D03,CORN,SUPPL,0
Beta,D03,COTTN,LAND,0.01
Beta,D03,COTTN,WATER,0.99
Beta,D03,COTTN,LABOR,0
Beta,D03,COTTN,SUPPL,0
Beta,D03,CUCUR,LAND,0.11
Beta,D03,CUCUR,WATER,0.78
Beta,D03,CUCUR,LABOR,0.11
Beta,D03,CUCUR,SUPPL,0
Beta,D03,DRYBN,LAND,0.11
Beta,D03,DRYBN,WATER,0.89
Beta,D03,DRYBN,LABOR,0
Beta,D03,DRYBN,SUPPL,0
Beta,D03,FRTOM,LAND,0.33
Beta,D03,FRTOM,WATER,0.67
Beta,D03,FRTOM,LABOR,0
Beta,D03,FRTOM,SUPPL,0
Beta,D03,GRAIN,LAND,0.34
Beta,D03,GRAIN,WATER,0.66
Beta,D03,GRAIN,LABOR,0
Beta,D03,GRAIN,SUPPL,0
Beta,D03,ONGAR,LAND,0.1
Beta,D03,ONGAR,WATER,0.9
Beta,D03,ONGAR,LABOR,0
Beta,D03,ONGAR,SUPPL,0
Beta,D03,OTHDEC,LAND,0.03
Beta,D03,OTHDEC,WATER,0.97
Beta,D03,OTHDEC,LABOR,0
Beta,D03,OTHDEC,SUPPL,0
Beta,D03,OTHFLD,LAND,0.01
Beta,D03,OTHFLD,WATER,0.99
Beta,D03,OTHFLD,LABOR,0
Beta,D03,OTHFLD,SUPPL,0
Beta,D03,OTHTRK,LAND,0.98
Beta,D03,OTHTRK,WATER,0.02
Beta,D03,OTHTRK,LABOR,0
Beta,D03,OTHTRK,SUPPL,0
Beta,D03,PASTR,LAND,0
