Parameter,Region,Crop,Level
DELTA_DEC,D02,ALFAL,1.53E+06
DELTA_DEC,D02,ALPIS,4.22E+02
DELTA_DEC,D02,CORN,9.47E+05
DELTA_DEC,D02,COTTN,1.56E+06
DELTA_DEC,D02,CUCUR,0.000230419
DELTA_DEC,D02,DRYBN,1.20E+02
DELTA_DEC,D02,FRTOM,2.63E+04
DELTA_DEC,D02,GRAIN,7.72E+05
DELTA_DEC,D02,ONGAR,2.06E+04
DELTA_DEC,D02,OTHDEC,3.00E+01
DELTA_DEC,D02,OTHFLD,7.02E+06
DELTA_DEC,D02,OTHTRK,1.24E+05
DELTA_DEC,D02,PASTR,1.70E+04
DELTA_DEC,D02,POTATO,1.19E+04
DELTA_DEC,D02,PRTOM,4.63E+04
DELTA_DEC,D02,RICE,0
DELTA_DEC,D02,SAFLR,5.13E+03
DELTA_DEC,D02,SBEET,0
DELTA_DEC,D02,SUBTRP,0
DELTA_DEC,D02,VINE,6.32E+02
DELTA_DEC,D03,ALFAL,5.15E+04
DELTA_DEC,D03,ALPIS,1.36E+03
DELTA_DEC,D03,CORN,1.53E+04
DELTA_DEC,D03,COTTN,3.81E+05
DELTA_DEC,D03,CUCUR,0.001188298
DELTA_DEC,D03,DRYBN,6.21E+01
DELTA_DEC,D03,FRTOM,9.28E+04
DELTA_DEC,D03,GRAIN,9.10E+04
DELTA_DEC,D03,ONGAR,3.40E+04
DELTA_DEC,D03,OTHDEC,5.18E+02
DELTA_DEC,D03,OTHFLD,6.93E+05
DELTA_DEC,D03,OTHTRK,1.59E+05
DELTA_DEC,D03,PASTR,0
DELTA_DEC,D03,POTATO,1.80E+04
DELTA_DEC,D03,PRTOM,5.95E+04
DELTA_DEC,D03,RICE,0
DELTA_DEC,D03,SAFLR,6.21E+02
DELTA_DEC,D03,SBEET,0
DELTA_DEC,D03,SUBTRP,1.42E+07
DELTA_DEC,D03,VINE,2.73E+03
DELTA_DEC,D04,ALFAL,4.21E+03
DELTA_DEC,D04,ALPIS,0
DELTA_DEC,D04,CORN,0
DELTA_DEC,D04,COTTN,0
DELTA_DEC,D04,CUCUR,0
DELTA_DEC,D04,DRYBN,0
DELTA_DEC,D04,FRTOM,0
DELTA_DEC,D04,GRAIN,0
DELTA_DEC,D04,ONGAR,7.58E+02
DELTA_DEC,D04,OTHDEC,0
DELTA_DEC,D04,OTHFLD,0
DELTA_DEC,D04,OTHTRK,9.15E+02
DELTA_DEC,D04,PASTR,0
DELTA_DEC,D04,POTATO,0
DELTA_DEC,D04,PRTOM,0
DELTA_DEC,D04,RICE,0
DELTA_DEC,D04,SAFLR,0
DELTA_DEC,D04,SBEET,0
DELTA_DEC,D04,SUBTRP,1.23E+05
DELTA_DEC,D04,VINE,0
DELTA_DEC,D01,ALFAL,0
DELTA_DEC,D01,ALPIS,0
DELTA_DEC,D01,CORN,0
DELTA_DEC,D01,COTTN,0
DELTA_DEC,D01,CUCUR,0
DELTA_DEC,D01,DRYBN,0
DELTA_DEC,D01,FRTOM,0
DELTA_DEC,D01,GRAIN,0
DELTA_DEC,D01,ONGAR,0
DELTA_DEC,D01,OTHDEC,0
DELTA_DEC,D01,OTHFLD,0
DELTA_DEC,D01,OTHTRK,0
DELTA_DEC,D01,PASTR,0
DELTA_DEC,D01,POTATO,0
DELTA_DEC,D01,PRTOM,0
DELTA_DEC,D01,RICE,0
DELTA_DEC,D01,SAFLR,0
DELTA_DEC,D01,SBEET,0
DELTA_DEC,D01,SUBTRP,0
DELTA_DEC,D01,VINE,0
DELTA_DEC,D05,ALFAL,0
DELTA_DEC,D05,ALPIS,1.64E+03
DELTA_DEC,D05,CORN,0
DELTA_DEC,D05,COTTN,0
DELTA_DEC,D05,CUCUR,4.39936E-05
DELTA_DEC,D05,DRYBN,0
DELTA_DEC,D05,FRTOM,0
DELTA_DEC,D05,GRAIN,2.08E+04
DELTA_DEC,D05,ONGAR,0
DELTA_DEC,D05,OTHDEC,2.98E+02
DELTA_DEC,D05,OTHFLD,3.15E+05
DELTA_DEC,D05,OTHTRK,3.00E+04
DELTA_DEC,D05,PASTR,0
DELTA_DEC,D05,POTATO,0
DELTA_DEC,D05,PRTOM,0
DELTA_DEC,D05,RICE,0
DELTA_DEC,D05,SAFLR,8.75E+02
DELTA_DEC,D05,SBEET,0
DELTA_DEC,D05,SUBTRP,0
DELTA_DEC,D05,VINE,3.02E+01
DELTA_DEC,D06,ALFAL,1.35E+06
DELTA_DEC,D06,ALPIS,5.71E+03
DELTA_DEC,D06,CORN,5.23E+05
DELTA_DEC,D06,COTTN,9.23E+05
DELTA_DEC,D06,CUCUR,0.000326087
DELTA_DEC,D06,DRYBN,2.63E+02
DELTA_DEC,D06,FRTOM,0
DELTA_DEC,D06,GRAIN,4.41E+05
DELTA_DEC,D06,ONGAR,1.06E+04
DELTA_DEC,D06,OTHDEC,2.47E+02
DELTA_DEC,D06,OTHFLD,2.88E+06
DELTA_DEC,D06,OTHTRK,3.64E+04
