"Parameter","Region","Crop","Level"
"Eta","D02","ALFAL",-4.88
"Eta","D02","ALPIS",-4.88
"Eta","D02","CORN",-4.88
"Eta","D02","COTTN",-4.88
"Eta","D02","CUCUR",-4.88
"Eta","D02","DRYBN",-4.88
"Eta","D02","FRTOM",-4.88
"Eta","D02","GRAIN",-4.88
"Eta","D02","ONGAR",-4.88
"Eta","D02","OTHDEC",-4.88
"Eta","D02","OTHFLD",-4.88
"Eta","D02","OTHTRK",-4.88
"Eta","D02","PASTR",-4.88
"Eta","D02","POTATO",-4.88
"Eta","D02","PRTOM",-4.88
"Eta","D02","RICE",-4.88
"Eta","D02","SAFLR",-4.88
"Eta","D02","SBEET",-4.88
"Eta","D02","SUBTRP",-4.88
"Eta","D02","VINE",-4.88
"Eta","D03","ALFAL",-4.88
"Eta","D03","ALPIS",-4.88
"Eta","D03","CORN",-4.88
"Eta","D03","COTTN",-4.88
"Eta","D03","CUCUR",-4.88
"Eta","D03","DRYBN",-4.88
"Eta","D03","FRTOM",-4.88
"Eta","D03","GRAIN",-4.88
"Eta","D03","ONGAR",-4.88
"Eta","D03","OTHDEC",-4.88
"Eta","D03","OTHFLD",-4.88
"Eta","D03","OTHTRK",-4.88
"Eta","D03","PASTR",-4.88
"Eta","D03","POTATO",-4.88
"Eta","D03","PRTOM",-4.88
"Eta","D03","RICE",-4.88
"Eta","D03","SAFLR",-4.88
"Eta","D03","SBEET",-4.88
"Eta","D03","SUBTRP",-4.88
"Eta","D03","VINE",-4.88
"Eta","D04","ALFAL",-4.88
"Eta","D04","ALPIS",-4.88
"Eta","D04","CORN",-4.88
"Eta","D04","COTTN",-4.88
"Eta","D04","CUCUR",-4.88
"Eta","D04","DRYBN",-4.88
"Eta","D04","FRTOM",-4.88
"Eta","D04","GRAIN",-4.88
"Eta","D04","ONGAR",-4.88
"Eta","D04","OTHDEC",-4.88
"Eta","D04","OTHFLD",-4.88
"Eta","D04","OTHTRK",-4.88
"Eta","D04","PASTR",-4.88
"Eta","D04","POTATO",-4.88
"Eta","D04","PRTOM",-4.88
"Eta","D04","RICE",-4.88
"Eta","D04","SAFLR",-4.88
