"Parameter","Region","Crop","Input","Level"
"Leontief","D02","ALFAL","LAND",1.00
"Leontief","D02","ALFAL","WATER",5.28
"Leontief","D02","ALFAL","LABOR",0.00
"Leontief","D02","ALFAL","SUPPL",0.02
"Leontief","D02","ALPIS","LAND",1.00
"Leontief","D02","ALPIS","WATER",5.05
"Leontief","D02","ALPIS","LABOR",0.09
"Leontief","D02","ALPIS","SUPPL",0.20
"Leontief","D02","CORN","LAND",1.00
"Leontief","D02","CORN","WATER",2.40
"Leontief","D02","CORN","LABOR",0.01
"Leontief","D02","CORN","SUPPL",0.03
"Leontief","D02","COTTN","LAND",1.00
"Leontief","D02","COTTN","WATER",3.55
"Leontief","D02","COTTN","LABOR",0.01
"Leontief","D02","COTTN","SUPPL",0.05
"Leontief","D02","CUCUR","LAND",1.00
"Leontief","D02","CUCUR","WATER",2.62
"Leontief","D02","CUCUR","LABOR",23.71
"Leontief","D02","CUCUR","SUPPL",11.35
"Leontief","D02","DRYBN","LAND",1.00
"Leontief","D02","DRYBN","WATER",2.19
"Leontief","D02","DRYBN","LABOR",0.36
"Leontief","D02","DRYBN","SUPPL",0.99
"Leontief","D02","FRTOM","LAND",1.00
"Leontief","D02","FRTOM","WATER",2.48
"Leontief","D02","FRTOM","LABOR",1.01
"Leontief","D02","FRTOM","SUPPL",6.59
"Leontief","D02","GRAIN","LAND",1.00
"Leontief","D02","GRAIN","WATER",1.57
"Leontief","D02","GRAIN","LABOR",0.00
"Leontief","D02","GRAIN","SUPPL",0.01
"Leontief","D02","ONGAR","LAND",1.00
"Leontief","D02","ONGAR","WATER",3.65
"Leontief","D02","ONGAR","LABOR",0.45
"Leontief","D02","ONGAR","SUPPL",1.41
"Leontief","D02","OTHDEC","LAND",1.00
"Leontief","D02","OTHDEC","WATER",4.57
"Leontief","D02","OTHDEC","LABOR",0.58
"Leontief","D02","OTHDEC","SUPPL",3.94
"Leontief","D02","OTHFLD","LAND",1.00
"Leontief","D02","OTHFLD","WATER",3.05
"Leontief","D02","OTHFLD","LABOR",0.02
"Leontief","D02","OTHFLD","SUPPL",0.04
"Leontief","D02","OTHTRK","LAND",1.00
"Leontief","D02","OTHTRK","WATER",2.44
"Leontief","D02","OTHTRK","LABOR",0.06
"Leontief","D02","OTHTRK","SUPPL",0.30
"Leontief","D02","PASTR","LAND",1.00
"Leontief","D02","PASTR","WATER",5.75
"Leontief","D02","PASTR","LABOR",0.02
"Leontief","D02","PASTR","SUPPL",0.05
"Leontief","D02","POTATO","LAND",1.00
"Leontief","D02","POTATO","WATER",1.96
"Leontief","D02","POTATO","LABOR",0.29
"Leontief","D02","POTATO","SUPPL",1.17
"Leontief","D02","PRTOM","LAND",1.00
"Leontief","D02","PRTOM","WATER",2.31
"Leontief","D02","PRTOM","LABOR",0.19
"Leontief","D02","PRTOM","SUPPL",0.50
"Leontief","D02","RICE","LAND",0.00
"Leontief","D02","RICE","WATER",0.00
"Leontief","D02","RICE","LABOR",0.00
"Leontief","D02","RICE","SUPPL",0.00
"Leontief","D02","SAFLR","LAND",1.00
"Leontief","D02","SAFLR","WATER",2.49
"Leontief","D02","SAFLR","LABOR",0.07
"Leontief","D02","SAFLR","SUPPL",0.13
"Leontief","D02","SBEET","LAND",0.00
"Leontief","D02","SBEET","WATER",0.00
"Leontief","D02","SBEET","LABOR",0.00
"Leontief","D02","SBEET","SUPPL",0.00
"Leontief","D02","SUBTRP","LAND",0.00
"Leontief","D02","SUBTRP","WATER",0.00
"Leontief","D02","SUBTRP","LABOR",0.00
"Leontief","D02","SUBTRP","SUPPL",0.00
"Leontief","D02","VINE","LAND",1.00
"Leontief","D02","VINE","WATER",4.21
"Leontief","D02","VINE","LABOR",0.19
"Leontief","D02","VINE","SUPPL",0.12
"Leontief","D03","ALFAL","LAND",1.00
"Leontief","D03","ALFAL","WATER",5.32
"Leontief","D03","ALFAL","LABOR",0.02
"Leontief","D03","ALFAL","SUPPL",0.19
"Leontief","D03","ALPIS","LAND",1.00
"Leontief","D03","ALPIS","WATER",4.47
"Leontief","D03","ALPIS","LABOR",0.03
"Leontief","D03","ALPIS","SUPPL",0.06
"Leontief","D03","CORN","LAND",1.00
"Leontief","D03","CORN","WATER",2.55
"Leontief","D03","CORN","LABOR",0.37
"Leontief","D03","CORN","SUPPL",1.38
"Leontief","D03","COTTN","LAND",1.00
"Leontief","D03","COTTN","WATER",3.55
"Leontief","D03","COTTN","LABOR",0.04
"Leontief","D03","COTTN","SUPPL",0.17
"Leontief","D03","CUCUR","LAND",1.00
"Leontief","D03","CUCUR","WATER",2.79
"Leontief","D03","CUCUR","LABOR",4.45
"Leontief","D03","CUCUR","SUPPL",2.13
"Leontief","D03","DRYBN","LAND",1.00
"Leontief","D03","DRYBN","WATER",2.19
"Leontief","D03","DRYBN","LABOR",0.57
"Leontief","D03","DRYBN","SUPPL",1.55
"Leontief","D03","FRTOM","LAND",1.00
"Leontief","D03","FRTOM","WATER",2.48
"Leontief","D03","FRTOM","LABOR",0.28
"Leontief","D03","FRTOM","SUPPL",1.84
"Leontief","D03","GRAIN","LAND",1.00
"Leontief","D03","GRAIN","WATER",1.63
"Leontief","D03","GRAIN","LABOR",0.00
"Leontief","D03","GRAIN","SUPPL",0.06
"Leontief","D03","ONGAR","LAND",1.00
"Leontief","D03","ONGAR","WATER",3.16
"Leontief","D03","ONGAR","LABOR",0.27
"Leontief","D03","ONGAR","SUPPL",0.84
"Leontief","D03","OTHDEC","LAND",1.00
"Leontief","D03","OTHDEC","WATER",4.02
