"Parameter","Region","Crop","Level"
"Tau","D02","ALFAL",1.91
"Tau","D02","ALPIS",0.43
"Tau","D02","CORN",15.25
"Tau","D02","COTTN",0.40
"Tau","D02","CUCUR",2.08
"Tau","D02","DRYBN",1.08
"Tau","D02","FRTOM",11.28
"Tau","D02","GRAIN",3.21
"Tau","D02","ONGAR",8.20
"Tau","D02","OTHDEC",3.22
"Tau","D02","OTHFLD",3.05
"Tau","D02","OTHTRK",5.05
"Tau","D02","PASTR",0.60
"Tau","D02","POTATO",22.59
"Tau","D02","PRTOM",34.32
"Tau","D02","RICE",0.00
"Tau","D02","SAFLR",0.79
"Tau","D02","SBEET",0.00
"Tau","D02","SUBTRP",0.00
"Tau","D02","VINE",6.05
"Tau","D03","ALFAL",1.60
"Tau","D03","ALPIS",0.48
"Tau","D03","CORN",13.81
"Tau","D03","COTTN",0.39
"Tau","D03","CUCUR",9.92
"Tau","D03","DRYBN",1.05
"Tau","D03","FRTOM",13.85
"Tau","D03","GRAIN",3.08
"Tau","D03","ONGAR",9.29
"Tau","D03","OTHDEC",3.61
"Tau","D03","OTHFLD",2.97
"Tau","D03","OTHTRK",5.97
"Tau","D03","PASTR",0.00
"Tau","D03","POTATO",18.09
"Tau","D03","PRTOM",33.43
"Tau","D03","RICE",0.00
"Tau","D03","SAFLR",0.81
"Tau","D03","SBEET",0.00
"Tau","D03","SUBTRP",5.37
"Tau","D03","VINE",6.69
"Tau","D04","ALFAL",1.98
"Tau","D04","ALPIS",0.00
"Tau","D04","CORN",0.00
"Tau","D04","COTTN",0.00
"Tau","D04","CUCUR",0.00
"Tau","D04","DRYBN",0.00
"Tau","D04","FRTOM",0.00
"Tau","D04","GRAIN",0.00
"Tau","D04","ONGAR",1.31
"Tau","D04","OTHDEC",0.00
"Tau","D04","OTHFLD",0.00
"Tau","D04","OTHTRK",0.50
"Tau","D04","PASTR",0.00
"Tau","D04","POTATO",0.00
"Tau","D04","PRTOM",0.00
"Tau","D04","RICE",0.00
"Tau","D04","SAFLR",0.00
"Tau","D04","SBEET",0.00
"Tau","D04","SUBTRP",5.69
"Tau","D04","VINE",0.00
"Tau","D01","ALFAL",0.00
"Tau","D01","ALPIS",0.00
"Tau","D01","CORN",0.00
"Tau","D01","COTTN",0.00
"Tau","D01","CUCUR",0.00
"Tau","D01","DRYBN",0.00
"Tau","D01","FRTOM",0.00
"Tau","D01","GRAIN",0.00
"Tau","D01","ONGAR",0.00
"Tau","D01","OTHDEC",0.00
"Tau","D01","OTHFLD",0.00
"Tau","D01","OTHTRK",0.00
"Tau","D01","PASTR",0.00
"Tau","D01","POTATO",0.00
"Tau","D01","PRTOM",0.00
"Tau","D01","RICE",0.00
"Tau","D01","SAFLR",0.00
"Tau","D01","SBEET",0.00
"Tau","D01","SUBTRP",0.00
"Tau","D01","VINE",0.00
"Tau","D05","ALFAL",0.00
"Tau","D05","ALPIS",0.43
"Tau","D05","CORN",0.00
"Tau","D05","COTTN",0.00
"Tau","D05","CUCUR",0.30
"Tau","D05","DRYBN",0.00
"Tau","D05","FRTOM",0.00
"Tau","D05","GRAIN",2.98
"Tau","D05","ONGAR",0.00
"Tau","D05","OTHDEC",3.05
"Tau","D05","OTHFLD",2.55
"Tau","D05","OTHTRK",5.40
"Tau","D05","PASTR",0.00
"Tau","D05","POTATO",0.00
"Tau","D05","PRTOM",0.00
"Tau","D05","RICE",0.00
"Tau","D05","SAFLR",0.70
"Tau","D05","SBEET",0.00
"Tau","D05","SUBTRP",0.00
"Tau","D05","VINE",5.92
"Tau","D06","ALFAL",1.95
"Tau","D06","ALPIS",0.48
"Tau","D06","CORN",14.91
"Tau","D06","COTTN",0.38
"Tau","D06","CUCUR",3.15
"Tau","D06","DRYBN",1.00
"Tau","D06","FRTOM",0.00
"Tau","D06","GRAIN",3.26
"Tau","D06","ONGAR",8.11
"Tau","D06","OTHDEC",3.39
"Tau","D06","OTHFLD",2.90
"Tau","D06","OTHTRK",4.90
"Tau","D06","PASTR",0.61
"Tau","D06","POTATO",0.00
"Tau","D06","PRTOM",33.52
"Tau","D06","RICE",0.00
"Tau","D06","SAFLR",0.79
"Tau","D06","SBEET",0.00
"Tau","D06","SUBTRP",6.54
"Tau","D06","VINE",6.75
"Tau","D07","ALFAL",1.91
"Tau","D07","ALPIS",0.45
"Tau","D07","CORN",15.96
"Tau","D07","COTTN",0.42
"Tau","D07","CUCUR",0.00
"Tau","D07","DRYBN",1.13
"Tau","D07","FRTOM",0.00
"Tau","D07","GRAIN",3.29
"Tau","D07","ONGAR",7.58
"Tau","D07","OTHDEC",0.00
"Tau","D07","OTHFLD",3.20
"Tau","D07","OTHTRK",5.19
"Tau","D07","PASTR",0.60
"Tau","D07","POTATO",23.00
"Tau","D07","PRTOM",12.98
