datetime,EDM_PUMP,LAP_PUMP,SOB_PUMP
10/1/1996,3097,325,184
10/2/1996,2548,377,176
10/3/1996,2357,58,191
10/4/1996,2347,409,208
10/5/1996,2217,370,199
10/6/1996,1523,312,175
10/7/1996,1320,338,208
10/8/1996,1397,336,208
10/9/1996,1249,293,191
10/10/1996,1932,297,167
10/11/1996,2103,303,179
10/12/1996,1996,249,176
10/13/1996,1973,180,178
10/14/1996,1356,277,171
10/15/1996,805,358,171
10/16/1996,1137,314,152
10/17/1996,1625,319,198
10/18/1996,1141,279,191
10/19/1996,1490,224,189
10/20/1996,1334,138,198
10/21/1996,1452,228,203
10/22/1996,1519,130,167
10/23/1996,1506,64,164
10/24/1996,1504,153,126
10/25/1996,1528,163,85
10/26/1996,1355,157,80
10/27/1996,766,130,86
10/28/1996,984,257,80
10/29/1996,1529,284,64
10/30/1996,1511,35,53
10/31/1996,1457,0,80
11/1/1996,1406,0,68
11/2/1996,922,0,68
11/3/1996,0,0,66
11/4/1996,791,57,89
11/5/1996,1433,36,89
11/6/1996,1724,85,96
11/7/1996,1724,85,110
11/8/1996,1721,85,74
11/9/1996,925,85,104
11/10/1996,1314,61,67
11/11/1996,767,36,62
11/12/1996,1319,4,99
11/13/1996,1715,12,114
11/14/1996,1581,31,144
11/15/1996,1739,0,119
11/16/1996,722,48,89
11/17/1996,0,0,32
11/18/1996,417,68,64
11/19/1996,1677,0,14
11/20/1996,1670,67,21
11/21/1996,1424,0,59
11/22/1996,1721,24,44
11/23/1996,714,9,50
11/24/1996,0,0,47
11/25/1996,603,0,63
11/26/1996,2024,0,61
11/27/1996,1991,0,53
11/28/1996,2264,0,60
11/29/1996,1991,0,53
11/30/1996,1200,43,66
12/1/1996,1309,0,88
12/2/1996,491,0,51
12/3/1996,1034,49,84
12/4/1996,906,54,168
12/5/1996,573,78,194
12/6/1996,0,53,203
12/7/1996,55,52,206
12/8/1996,3,60,175
12/9/1996,952,37,184
12/10/1996,1336,0,208
12/11/1996,1721,32,208
12/12/1996,1448,0,193
12/13/1996,1473,0,199
12/14/1996,1036,0,182
12/15/1996,1309,0,179
12/16/1996,1009,0,197
12/17/1996,1345,0,186
12/18/1996,1584,0,208
12/19/1996,1176,0,208
12/20/1996,1337,0,208
12/21/1996,1260,57,208
12/22/1996,1036,0,184
12/23/1996,791,83,167
12/24/1996,657,17,113
12/25/1996,1309,0,98
12/26/1996,711,0,165
12/27/1996,1552,21,174
12/28/1996,900,2,188
12/29/1996,491,40,119
12/30/1996,600,12,187
12/31/1996,954,39,156
1/1/1997,736,0,189
1/2/1997,976,0,103
1/3/1997,1721,0,78
1/4/1997,2073,0,89
1/5/1997,1309,0,71
1/6/1997,1145,0,89
1/7/1997,1227,0,82
1/8/1997,1252,0,89
1/9/1997,1172,0,89
1/10/1997,1064,0,89
1/11/1997,657,0,89
1/12/1997,789,0,89
1/13/1997,709,0,116
1/14/1997,573,0,84
1/15/1997,573,0,85
1/16/1997,682,0,88
1/17/1997,1579,0,75
1/18/1997,1609,0,89
1/19/1997,1445,0,101
1/20/1997,2209,0,88
1/21/1997,1991,0,110
1/22/1997,1418,0,92
1/23/1997,1964,0,86
1/24/1997,1609,0,74
1/25/1997,706,0,72
1/26/1997,436,0,74
1/27/1997,655,0,89
1/28/1997,982,0,94
1/29/1997,1121,0,89
1/30/1997,1091,0,107
1/31/1997,1200,0,95
2/1/1997,1064,0,89
2/2/1997,1309,1,101
2/3/1997,356,0,102
2/4/1997,466,11,107
2/5/1997,573,0,105
2/6/1997,452,0,115
2/7/1997,346,0,101
2/8/1997,373,0,137
2/9/1997,645,0,122
2/10/1997,510,0,169
2/11/1997,403,0,168
2/12/1997,437,0,139
2/13/1997,409,0,139
2/14/1997,436,0,132
2/15/1997,655,0,143
2/16/1997,1306,0,119
2/17/1997,925,0,119
2/18/1997,1001,0,171
2/19/1997,955,43,199
2/20/1997,1145,0,214
2/21/1997,764,47,249
2/22/1997,1009,59,281
2/23/1997,1309,0,282
2/24/1997,984,66,259
2/25/1997,3,75,307
2/26/1997,19,114,356
2/27/1997,0,146,309
2/28/1997,0,148,292
3/1/1997,0,131,294
3/2/1997,712,147,305
3/3/1997,1396,186,347
3/4/1997,1879,243,347
3/5/1997,1121,209,318
