ARV_in,ARV_out,DLE_in,DLE_out,BVA_in,BVA_out,CTL_in,CTL_out,SOC_in,SOC_out,KRT_in,KRT_out
0,-17.9,0,0,0.3,0,0,0,0,0,0,0
86,-3.9,0,0,59.2,0,20,0,0,0,49.7,0
0,-0.5,0,0,40.8,0,20,0,2.9,0,10,0
0,-7.1,0,0,0,0,8.2,0,0,0,0,12.3
0,0,0,0,0,8.25,0,0,0,0,0,0
0,0,0,0,0,8.25,0,0,0,0,4.6,4.5
0,0,39.6,0,0,0,25.4,0,9.3,0,42.6,0
57,0,15.5,0,67.7,0,0.9,0,20,0,15,0
14.7,0,12,-10,0,8.25,0,0,6.385,0,7.4,0
0,0,0,-8.7,0,8.25,0,0,0,-6.9,0,9
0,0,0,-2.1,0,5.4,0,2.8,0,-11.1,0,10
0,0,0,-5.7,0,0.2,0,0,0,-4.7,0,5.6
0,-0.8,8.3,0,0,3.2,0,0,0,0,0,5.2
