,SLS_contract,SLS_carryover,SLS_turnback,SLS_flood,tableA real,carryover real,turnback real,article21 real
0,2000.142172,0,79.8743953,28.87494934,2306,0,62.5,21.4
1,1571.05192,213.2405741,73.62514474,104.3077512,1593,38.9,75,20.2
2,2110.909057,134.9143727,80.61886535,153.3392003,2520,0,217.4,158.1
3,2558.712768,183.4975347,106.2174088,296.2357533,2701,218.4,282.3,308.7
4,1793.531459,255.6149938,4.023404683,335.9520108,1372,335.3,18.2,48.1
5,2216.022593,262.7593924,40.78729788,295.0758641,2509,160.6,45.2,43.1
6,2356.878281,255.8446086,32.54318342,244.4261604,2962,219.9,29.8,59.8
7,2883.841657,256.181115,33.78438413,288.9572903,2309,369.8,17.2,218.5
8,2428.067517,270.9654495,19.06080683,290.8790788,2772,185.1,38.3,731
9,2659.90124,255.1569863,17.65147987,342.1824661,2723,160.1,73.4,631.9
10,2517.024242,201.5770316,9.89870309,375.956389,2307.703,92,16.38,298.156
11,1393.464078,362.9888321,13.52304075,0,1220.328,140.428,3.1979,0
12,1308.784426,332.172859,11.29801862,0,1285.633,171.902,2,0
13,1838.382658,256.6012804,10.98485118,228.3334542,1748.551,257.3,11.28,0
14,2613.651959,252.5280607,60.40699264,212.6703315,2609.467,266.912,31.06,405.96
15,2002.93472,265.3495992,18.9355713,247.5644573,2189.613,367.081,7.7,0
16,1874.834548,256.8670263,33.90832084,209.0528153,1215.723,322.321,98.7,0
17,745.5365444,353.2092941,3.842092021,13.83440546,88.309,359.791,0.75,0
18,723.2867493,285.6514664,5.942810535,34.01293269,711.215,111.822,2.965,0
19,1647.385204,313.7378931,47.0923794,0,1933.4,68.3,14,0
