datetime,SRI,SJI
1905-10-01,10.26,4.12
1905-10-02,10.26,4.12
1905-10-03,10.26,4.12
1905-10-04,10.26,4.12
1905-10-05,10.26,4.12
1905-10-06,10.26,4.12
1905-10-07,10.26,4.12
1905-10-08,10.26,4.12
1905-10-09,10.26,4.12
1905-10-10,10.26,4.12
1905-10-11,10.26,4.12
1905-10-12,10.26,4.12
1905-10-13,10.26,4.12
1905-10-14,10.26,4.12
1905-10-15,10.26,4.12
1905-10-16,10.26,4.12
1905-10-17,10.26,4.12
1905-10-18,10.26,4.12
1905-10-19,10.26,4.12
1905-10-20,10.26,4.12
1905-10-21,10.26,4.12
1905-10-22,10.26,4.12
1905-10-23,10.26,4.12
1905-10-24,10.26,4.12
1905-10-25,10.26,4.12
1905-10-26,10.26,4.12
1905-10-27,10.26,4.12
1905-10-28,10.26,4.12
1905-10-29,10.26,4.12
1905-10-30,10.26,4.12
1905-10-31,10.26,4.12
1905-11-01,10.26,4.12
1905-11-02,10.26,4.12
1905-11-03,10.26,4.12
1905-11-04,10.26,4.12
1905-11-05,10.26,4.12
1905-11-06,10.26,4.12
1905-11-07,10.26,4.12
1905-11-08,10.26,4.12
1905-11-09,10.26,4.12
1905-11-10,10.26,4.12
1905-11-11,10.26,4.12
1905-11-12,10.26,4.12
1905-11-13,10.26,4.12
1905-11-14,10.26,4.12
1905-11-15,10.26,4.12
1905-11-16,10.26,4.12
1905-11-17,10.26,4.12
1905-11-18,10.26,4.12
1905-11-19,10.26,4.12
1905-11-20,10.26,4.12
1905-11-21,10.26,4.12
1905-11-22,10.26,4.12
1905-11-23,10.26,4.12
1905-11-24,10.26,4.12
1905-11-25,10.26,4.12
1905-11-26,10.26,4.12
1905-11-27,10.26,4.12
1905-11-28,10.26,4.12
1905-11-29,10.26,4.12
1905-11-30,10.26,4.12
1905-12-01,10.26,4.12
1905-12-02,10.26,4.12
1905-12-03,10.26,4.12
1905-12-04,10.26,4.12
1905-12-05,10.26,4.12
1905-12-06,10.26,4.12
1905-12-07,10.26,4.12
1905-12-08,10.26,4.12
1905-12-09,10.26,4.12
1905-12-10,10.26,4.12
1905-12-11,10.26,4.12
1905-12-12,10.26,4.12
1905-12-13,10.26,4.12
1905-12-14,10.26,4.12
1905-12-15,10.26,4.12
1905-12-16,10.26,4.12
1905-12-17,10.26,4.12
1905-12-18,10.26,4.12
1905-12-19,10.26,4.12
1905-12-20,10.26,4.12
1905-12-21,10.26,4.12
1905-12-22,10.26,4.12
1905-12-23,10.26,4.12
1905-12-24,10.26,4.12
1905-12-25,10.26,4.12
1905-12-26,10.26,4.12
1905-12-27,10.26,4.12
1905-12-28,10.26,4.12
1905-12-29,10.26,4.12
1905-12-30,10.26,4.12
1905-12-31,10.26,4.12
1906-01-01,8.348247474099999,3.4843098534
1906-01-02,8.3281769913,3.4788336137999996
1906-01-03,8.3221561969,3.4720135726
1906-01-04,8.3470590292,3.4730764516
1906-01-05,8.3663977063,3.4783393518000003
1906-01-06,8.3827566577,3.481313004
1906-01-07,8.3990651525,3.4858910822
