label, proj, share_FRS, share_COF, share_TUL, share_KWD, share_EXE, share_LDS, share_LND, share_PRT, share_LWT, share_TPD, share_SAU, share_TBA, share_PIX, share_DLE, share_KRT, share_SSJ, share_SFW, share_NKN, share_ARV, share_DLR, share_ID4, share_SMI, share_TJC, share_BLR, share_LHL, share_BDM, share_WRM, share_COB, share_BVA, share_CWO, share_HML, share_KND, share_RRB, share_CNS, share_ALT, share_CWC, share_MAD, share_SOC, share_SOB, share_CCA, share_OFK, cwg_p, cwg_np, cog_wp_p90, n_p
s1/soln0, 3.0, 0.10455532791245999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03995617692006175, 0.12092384444752323, 0.02689133407431247, 0.08345427613155808, 0.0, 0.0, 0.10413962192732777, 0.0, 0.0, 0.0, 0.15014821063457243, 0.0, 0.1425186714399714, 0.0, 0.0, 0.0, 0.06478955161803411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16262298489417867, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 54.39983318818136, 23.08996182820681, 491.1747948288531, 10
s1/soln1, 3.0, 0.0, 0.0745446957920233, 0.04737997117445102, 0.03218554402530315, 0.0, 0.07795548833813461, 0.023039371034748103, 0.07242748304680201, 0.023025296612615476, 0.040747165580109074, 0.09045939672460258, 0.028253175798072037, 0.061997625733153525, 0.0, 0.08381602047646597, 0.06753868060555625, 0.053202935084641474, 0.0, 0.04264876433169253, 0.0, 0.0, 0.0, 0.037970538764069396, 0.0, 0.026152741333910233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012687248917650024, 0.0, 0.10396785662599917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 64.85245615726738, 13.547023853304022, 1000000.0, 19
s1/soln10, 3.0, 0.0, 0.0, 0.0, 0.012230578813909324, 0.0, 0.11372943186436904, 0.03141227253383386, 0.0963337922768781, 0.0, 0.06836762662207957, 0.0, 0.03161409931176821, 0.08754255665370528, 0.10766169723492855, 0.10894646623503892, 0.06895126137013677, 0.06500052476187711, 0.0, 0.015494745419456295, 0.0, 0.0, 0.0, 0.05676599384542178, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13594895305659718, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 65.7729012795804, 15.275557038639644, 435.2403615461718, 14
s1/soln100, 3.0, 0.0, 0.026708582773628486, 0.0549064153054528, 0.010747640299093244, 0.046792223296024296, 0.09845727706563123, 0.058579946808536634, 0.0866114326673441, 0.02007236227430638, 0.08773389536970934, 0.11167248196123976, 0.09313542429260263, 0.07762110889788544, 0.0, 0.026600789994939037, 0.0, 0.09270779367532285, 0.0, 0.06037640627328614, 0.0, 0.0, 0.0, 0.04727621904499765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 61.36837738991237, 18.890398145346342, 554.8375758918783, 16
s1/soln101, 3.0, 0.0, 0.029711260364157277, 0.058462057733768606, 0.03959409824670025, 0.04409270362138425, 0.10877062334765168, 0.03417275473629154, 0.08697932066542047, 0.0, 0.06571903702133888, 0.0721345386307288, 0.12270474871728108, 0.06693076721013877, 0.0, 0.030360092782700965, 0.05319584678039954, 0.01794030647071973, 0.0, 0.03553692677901589, 0.0, 0.029554135067131292, 0.0, 0.04738763438249156, 0.0, 0.021560529197733012, 0.0, 0.010076459895428476, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012436194397280524, 0.01267996395223746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 77.97850235385822, -3.707398259243861, 735.1082711491968, 21
s1/soln102, 3.0, 0.0, 0.03421074403537855, 0.0, 0.032737647719243285, 0.0, 0.10439408165509186, 0.03403908104359497, 0.09257464882681939, 0.0, 0.061559675284825074, 0.0, 0.10448123095888334, 0.08147096829242849, 0.10772605017692366, 0.08436991946264837, 0.0640007546399609, 0.09564181939348344, 0.0, 0.03283078789028348, 0.0, 0.01171599987758069, 0.0, 0.03479275435111349, 0.0, 0.0, 0.0, 0.011493861476373466, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011959974915367572, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 82.2470253991081, -5.272984397598658, 342.92108729839714, 17
s1/soln103, 3.0, 0.0, 0.020439633084791627, 0.0, 0.013897001723964204, 0.0, 0.10609684949923423, 0.013698674730797769, 0.09622565310304114, 0.0, 0.07073032373581763, 0.0, 0.10514494468464543, 0.08332900660386128, 0.10469659358752159, 0.021967871881870576, 0.08436374480598034, 0.07487361137862689, 0.0, 0.01515364120535073, 0.0, 0.014623594077290176, 0.0, 0.0, 0.0, 0.026706858337584075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011190099106512424, 0.13686189845311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 73.67968861736247, 7.320437609385221, 465.9108900699367, 17
s1/soln104, 3.0, 0.0, 0.011064748727469115, 0.04486546883791356, 0.011016672784861532, 0.030418649762857082, 0.07846351954746884, 0.027754763520206983, 0.0688743060910643, 0.0, 0.05034351893013155, 0.08455607553484412, 0.0492627184406837, 0.06034420580924179, 0.07102280564396364, 0.06482092412312368, 0.040383666730144124, 0.07636033565553972, 0.0, 0.011466225209045404, 0.0, 0.012432639504348437, 0.0, 0.03695516390024948, 0.0, 0.018626542441721714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010226110711399622, 0.10055250561048493, 0.0401884324832367, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 71.16103772658295, 6.147601870939059, 560.4078187702726, 22
s1/soln105, 3.0, 0.0, 0.024264650847825083, 0.0, 0.0, 0.010405391120911408, 0.09656799192565754, 0.027695112281031012, 0.08427560706821775, 0.0, 0.05084265306848141, 0.10721157745059669, 0.09592595041854365, 0.07294950169780827, 0.09118862040400262, 0.08047143318045619, 0.09604908153885706, 0.06229572949810425, 0.0, 0.05165887874472333, 0.0, 0.0, 0.0, 0.04819782075478381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 62.67407845260243, 15.92028527483302, 313.832486400631, 15
s1/soln106, 3.0, 0.0, 0.01927496199625223, 0.05741883901663078, 0.04704227609472079, 0.03828404789112833, 0.09624237938861915, 0.02567352012674313, 0.08355783384650148, 0.0, 0.05997631355689472, 0.028074524309268288, 0.09688489326000695, 0.07344394376910193, 0.0, 0.11671647137279936, 0.056680878348326816, 0.06281631217037259, 0.0, 0.03225990174718717, 0.0, 0.014896387058494463, 0.0, 0.046057617669557946, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02212080515535411, 0.010655764255243887, 0.011922328966795749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 71.43499650129745, 4.727645210769809, 1491.2799977140617, 20
